,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
nembutal,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
sleep,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
oxycodone,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
modafinil,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
meditation,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
stramonium,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
niacin,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
gold,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
tranylcypromine,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
mullein,99.0,44.0,10.0,12.0,58.0,24.0,5.0,36.0,16.0,8.0,18.0,33.0,15.0,9.0,6.0,7.0,85.0,3.0,49.0,20.0,3.0,11.0,14.0,22.0,77.0,17.0,7.0,1.0,26.0,30.0,20.0,75.0,13.0
