,name,conditional_probability,percentile,p_value,adjusted_p_value,should reject
96,mescaline|phaeacantha,0.5,0.9987181015979013,0.0013117099928452182,0.28648449738661985,False
682,LSD|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
714,cocaine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
783,cyclohexylpiperidine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
786,sodium|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
928,triphenylphosphine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
929,cyclohexanone|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
948,MDMA|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
966,phenylpropanolamine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
1025,cathinone|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
1139,phenylalanine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
1157,methamphetamine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
1257,amphetamine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
1269,iodophenethylamine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.015569855178937348,0.28648449738661985,False
1909,oxycodone|cobalt,0.02531645569620253,0.7150011924636298,0.022363481960092132,0.28648449738661985,False
1930,benzoylecgonine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
1952,LSD|cobalt,0.0759493670886076,0.8960767946577629,0.014830138112603888,0.28648449738661985,False
1957,caffeine|cobalt,0.0379746835443038,0.7938528499880754,0.01991316592201949,0.28648449738661985,False
1960,cannabimimetic|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
1974,insulin|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
1984,cocaine|cobalt,0.0379746835443038,0.7938528499880754,0.01991316592201949,0.28648449738661985,False
1985,inositol|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2001,mescaline|cobalt,0.02531645569620253,0.7150011924636298,0.022363481960092132,0.28648449738661985,False
2008,opioids|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2026,salvia|cobalt,0.02531645569620253,0.7150011924636298,0.022363481960092132,0.28648449738661985,False
2040,morphine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2045,methadone|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2056,sodium|cobalt,0.0379746835443038,0.7938528499880754,0.01991316592201949,0.28648449738661985,False
2080,dextromethorphan|cobalt,0.02531645569620253,0.7150011924636298,0.022363481960092132,0.28648449738661985,False
2087,nicotine|cobalt,0.02531645569620253,0.7150011924636298,0.022363481960092132,0.28648449738661985,False
2105,dimethcathinone|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2135,fenfluramine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2162,marijuana|cobalt,0.02531645569620253,0.7150011924636298,0.022363481960092132,0.28648449738661985,False
2171,mephedrone|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2212,benzylethylamine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2214,thebaine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2218,MDMA|cobalt,0.05063291139240506,0.8576198425948008,0.01717211702299496,0.28648449738661985,False
2236,phenylpropanolamine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2260,dimethylglyoxime|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2267,nitropropene|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2294,quinine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2295,cathinone|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2297,dimethyltryptamine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2330,hydrocodone|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2331,xylazine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2343,tryptamine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2344,hydroxyzine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2374,fentanyl|cobalt,0.02531645569620253,0.7150011924636298,0.022363481960092132,0.28648449738661985,False
2378,phenethylamine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2407,benzene|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2418,benzodiazepine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2427,methamphetamine|cobalt,0.0379746835443038,0.7938528499880754,0.01991316592201949,0.28648449738661985,False
2453,titanium|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2456,phenacetin|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2461,aflatoxin|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2507,igg|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2509,other|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
2512,acetaminophen|cobalt,0.02531645569620253,0.7150011924636298,0.022363481960092132,0.28648449738661985,False
2527,amphetamine|cobalt,0.012658227848101266,0.5121929406153113,0.02595396414068282,0.28648449738661985,False
3178,cobalt|oxycodone,0.0012944983818770227,0.182864297638922,0.027693170053767785,0.28648449738661985,False
3183,tranylcypromine|oxycodone,0.0012944983818770227,0.182864297638922,0.027693170053767785,0.28648449738661985,False
3185,hypericum|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3186,commiphora|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3192,hormone|oxycodone,0.0025889967637540453,0.26651562127355116,0.027538626620548172,0.28648449738661985,False
3194,fluoxetine|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3196,gerwurtzraminer|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3197,tizanidine|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3200,benzoylecgonine|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3206,phenoperidine|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3221,kratom|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3222,LSD|oxycodone,0.03171521035598705,0.763415215835917,0.02098115433095079,0.28648449738661985,False
3226,barbiturate|oxycodone,0.0019417475728155341,0.23419985690436443,0.027609367235439462,0.28648449738661985,False
3227,caffeine|oxycodone,0.01488673139158576,0.5550918196994992,0.025357668366531295,0.28648449738661985,False
3230,cannabimimetic|oxycodone,0.0012944983818770227,0.182864297638922,0.027693170053767785,0.28648449738661985,False
3232,iprocin|oxycodone,0.0012944983818770227,0.182864297638922,0.027693170053767785,0.28648449738661985,False
3233,dinitrophenol|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3234,sevoflorane|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3239,diethylpropion|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3241,phenelzine|oxycodone,0.0019417475728155341,0.23419985690436443,0.027609367235439462,0.28648449738661985,False
3244,insulin|oxycodone,0.003236245954692557,0.28312067731934176,0.027489005609870873,0.28648449738661985,False
3247,meperidine|oxycodone,0.007119741100323624,0.420313617934653,0.02682307353087384,0.28648449738661985,False
3254,cocaine|oxycodone,0.02524271844660194,0.7146732649654186,0.022366492062458766,0.28648449738661985,False
3259,selegiline|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3260,piperidino|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3267,phenanthrene|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3268,chlorpromazine|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3271,mescaline|oxycodone,0.008414239482200648,0.4478297161936561,0.02660854099854584,0.28648449738661985,False
3273,psilocybin|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3274,oxytocin|oxycodone,0.0019417475728155341,0.23419985690436443,0.027609367235439462,0.28648449738661985,False
3278,opioids|oxycodone,0.11067961165048544,0.9449678034819938,0.010376309293026709,0.28648449738661985,False
3280,fluoroamphetamine|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3285,propoxyphene|oxycodone,0.009708737864077669,0.46977104698306704,0.026410602737022133,0.28648449738661985,False
3288,ketobemidone|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3291,quetiapine|oxycodone,0.0019417475728155341,0.23419985690436443,0.027609367235439462,0.28648449738661985,False
3295,isomorphinans|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3296,salvia|oxycodone,0.016181229773462782,0.5854400190794181,0.02488443044848027,0.28648449738661985,False
3298,choline|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3304,succinylcholine|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
3309,laudanum|oxycodone,0.0038834951456310682,0.314601717147627,0.027379790790081182,0.28648449738661985,False
3310,morphine|oxycodone,0.061488673139158574,0.879143811113761,0.01596887942716026,0.28648449738661985,False
3315,methadone|oxycodone,0.02912621359223301,0.7420701168614358,0.021627020851161714,0.28648449738661985,False
3320,anxiolytic|oxycodone,0.0025889967637540453,0.26651562127355116,0.027538626620548172,0.28648449738661985,False
3326,sodium|oxycodone,0.004530744336569579,0.34271404722155974,0.027263145509977563,0.28648449738661985,False
3340,N-Ethyl-3-piperidyl benzilate|oxycodone,0.0006472491909385113,0.11501311709992845,0.027756361724083193,0.28648449738661985,False
