,name,conditional_probability,percentile,p_value,adjusted_p_value,should reject
19,perception|phaeacantha,1.0,0.9956419711699631,0.998638484977051,1.0,False
37,misclassified|trimethylsilyl,0.5,0.9844954743546765,0.9950759182833854,1.0,False
57,uninterpretable|trimethylsilyl,0.5,0.9844954743546765,0.9950759182833854,1.0,False
99,emotion|cobalt,0.061224489795918366,0.424321153201475,0.8238734395289338,1.0,False
100,global nervous system|cobalt,0.04081632653061224,0.2857023131076098,0.7811509237474448,1.0,False
103,misclassified|cobalt,0.12244897959183673,0.763493127723768,0.9272984404931797,1.0,False
104,gastrointestinal|cobalt,0.02040816326530612,0.17314783774723433,0.7460099510163152,1.0,False
107,genitourinary|cobalt,0.02040816326530612,0.17314783774723433,0.7460099510163152,1.0,False
108,oncologic|cobalt,0.02040816326530612,0.17314783774723433,0.7460099510163152,1.0,False
110,chemical process|cobalt,0.061224489795918366,0.424321153201475,0.8238734395289338,1.0,False
111,metabolic|cobalt,0.02040816326530612,0.17314783774723433,0.7460099510163152,1.0,False
117,neurologic disorder|cobalt,0.061224489795918366,0.424321153201475,0.8238734395289338,1.0,False
118,perception|cobalt,0.04081632653061224,0.2857023131076098,0.7811509237474448,1.0,False
120,sense of self|cobalt,0.04081632653061224,0.2857023131076098,0.7811509237474448,1.0,False
121,use of substance|cobalt,0.061224489795918366,0.424321153201475,0.8238734395289338,1.0,False
122,sexual activity|cobalt,0.02040816326530612,0.17314783774723433,0.7460099510163152,1.0,False
123,uninterpretable|cobalt,0.16326530612244897,0.8385853167951727,0.9501729214075418,1.0,False
124,respiratory|cobalt,0.02040816326530612,0.17314783774723433,0.7460099510163152,1.0,False
127,esp|cobalt,0.04081632653061224,0.2857023131076098,0.7811509237474448,1.0,False
128,infectious|cobalt,0.02040816326530612,0.17314783774723433,0.7460099510163152,1.0,False
129,cognitive ability|cobalt,0.08163265306122448,0.5740026818638954,0.8692598449492807,1.0,False
130,behavior|cobalt,0.08163265306122448,0.5740026818638954,0.8692598449492807,1.0,False
137,gastrointestinal|tetrahydrocoptisine,0.3333333333333333,0.9655548105933623,0.9874918039109808,1.0,False
140,genitourinary|tetrahydrocoptisine,0.3333333333333333,0.9655548105933623,0.9874918039109808,1.0,False
161,infectious|tetrahydrocoptisine,0.3333333333333333,0.9655548105933623,0.9874918039109808,1.0,False
