,name,conditional_probability,percentile,p_value
0,phaeacantha|phaeacantha,0.5,0.995083381253594,0.007590569292696952
97,mescaline|phaeacantha,0.5,0.995083381253594,0.007590569292696952
637,trimethylsilyl|trimethylsilyl,0.13333333333333336,0.9393329499712478,0.060782058654399077
684,LSD|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
716,cocaine|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
785,cyclohexylpiperidine|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
788,sodium|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
930,triphenylphosphine|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
931,cyclohexanone|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
950,MDMA|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
968,phenylpropanolamine|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
1027,cathinone|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
1141,phenylalanine|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
1159,methamphetamine|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
1259,amphetamine|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
1271,iodophenethylamine|trimethylsilyl,0.06666666666666668,0.8600057504312824,0.14220816561242094
1274,arylcyclohexylamine|arylcyclohexylamine,1.0,0.9989361702127659,0.002185163887291547
1911,cobalt|cobalt,0.12658227848101264,0.9385853939045429,0.06147211040828062
1913,oxycodone|cobalt,0.02531645569620253,0.6906843013225992,0.3096032202415181
1934,benzoylecgonine|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
1956,LSD|cobalt,0.0759493670886076,0.8690051753881541,0.13105232892466934
1961,caffeine|cobalt,0.0379746835443038,0.7674238067855089,0.23271995399654974
1964,cannabimimetic|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
1978,insulin|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
1988,cocaine|cobalt,0.0379746835443038,0.7674238067855089,0.23271995399654974
1989,inositol|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2005,mescaline|cobalt,0.02531645569620253,0.6906843013225992,0.3096032202415181
2012,opioids|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2030,salvia|cobalt,0.02531645569620253,0.6906843013225992,0.3096032202415181
2044,morphine|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2049,methadone|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2060,sodium|cobalt,0.0379746835443038,0.7674238067855089,0.23271995399654974
2084,dextromethorphan|cobalt,0.02531645569620253,0.6906843013225992,0.3096032202415181
2091,nicotine|cobalt,0.02531645569620253,0.6906843013225992,0.3096032202415181
2109,dimethcathinone|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2139,fenfluramine|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2166,marijuana|cobalt,0.02531645569620253,0.6906843013225992,0.3096032202415181
2175,mephedrone|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2216,benzylethylamine|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2218,thebaine|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2222,MDMA|cobalt,0.05063291139240506,0.8303622771707878,0.16969522714203567
2240,phenylpropanolamine|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
2264,dimethylglyoxime|cobalt,0.012658227848101266,0.49399079930994827,0.5069580218516389
