,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,esp,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,chemical process,infectious,cognitive ability,behavior,integumentary
nembutal,8,3,0,0,0,3,0,0,1,0,0,0,0,0,0,0,3,0,2,1,0,0,1,0,5,0,0,0,1,0,3,1,1
sleep,81,29,6,7,28,18,3,20,7,3,2,23,3,2,0,6,47,3,29,10,1,10,12,15,44,14,1,0,12,15,14,48,8
oxycodone,31,18,0,0,9,8,0,9,2,2,0,9,1,0,1,1,17,1,10,5,0,2,6,2,13,2,0,0,1,2,7,13,1
modafinil,19,15,0,1,4,6,0,4,2,1,0,2,0,0,0,1,9,0,8,2,0,2,7,1,14,1,0,0,4,3,8,5,1
meditation,63,27,1,3,14,10,0,8,2,1,1,21,1,0,2,2,19,2,14,7,0,6,8,7,27,6,1,0,7,4,10,35,5
stramonium,11,6,0,1,6,2,0,0,1,1,1,6,1,0,0,0,9,1,4,3,0,0,4,1,10,1,0,0,1,1,5,4,0
niacin,13,7,0,1,1,2,0,6,3,1,1,1,0,0,1,1,8,0,4,2,0,1,6,0,10,0,0,0,0,1,3,5,1
gold,44,19,1,4,16,8,0,6,3,1,1,15,1,1,0,2,15,2,10,6,1,9,7,11,29,7,1,0,8,4,8,29,4
tranylcypromine,10,7,0,0,2,4,0,4,3,2,0,1,1,0,0,0,7,1,2,2,0,2,2,1,7,1,0,0,3,1,4,0,0
mullein,12,3,0,0,1,2,0,0,1,0,0,1,0,0,0,0,7,0,1,2,0,3,3,1,7,1,0,0,0,2,3,3,0
freon,9,2,0,2,0,1,0,4,2,1,0,0,2,0,0,0,8,0,1,1,0,0,1,1,3,1,0,0,0,0,3,2,0
percoset,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5,0,0,0,0,0,0,1,0
methcathinone,14,5,0,0,3,1,0,1,1,1,0,0,0,0,0,0,4,0,3,2,0,2,1,0,9,0,0,0,0,0,2,5,0
selegiline,10,10,0,1,3,4,0,5,3,1,0,0,0,0,0,0,7,0,6,1,0,1,3,1,6,1,0,0,3,1,5,0,1
doet,7,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,2,3,0,0,3,0,1,0,0,0,0,0,1,2,0
endogenous,30,20,0,3,9,5,0,5,3,2,0,7,0,0,1,2,15,1,13,7,0,5,9,4,20,6,0,0,6,2,7,12,1
benzodiazapines,9,7,1,1,3,3,0,1,1,0,1,0,0,0,0,0,7,0,6,2,0,0,3,1,7,0,0,0,3,1,4,3,1
fluoxetine,14,11,0,1,4,6,0,5,2,0,0,2,0,0,0,0,9,0,9,3,0,1,3,2,9,1,0,0,3,1,3,5,0
harmaline,27,18,1,4,7,7,1,7,4,2,1,7,2,0,0,1,17,1,11,6,1,4,6,4,12,1,0,0,3,4,7,12,3
pseudoephedrine,20,13,1,0,7,5,0,4,2,1,1,1,1,1,0,1,12,0,7,3,0,2,5,1,11,2,0,0,3,4,3,8,1
