,name,conditional_probability,percentile,p_value
0,emotion|emotion,1.365796177695396,1.0,0.0011037527593818985
1,global nervous system|emotion,0.17323423060478732,0.7163355408388521,0.2847682119205298
2,immunologic|emotion,0.0038610898351735664,0.0772626931567329,0.9238410596026491
3,motor|emotion,0.015186953351682693,0.2108167770419426,0.7902869757174393
4,misclassified|emotion,0.222656180495009,0.8245033112582781,0.17660044150110377
5,gastrointestinal|emotion,0.10219017763759372,0.5684326710816777,0.4326710816777042
6,song references|emotion,0.0005148119780231421,0.0033112582781456954,0.9977924944812362
7,cardiovascular|emotion,0.05302563373638364,0.4359823399558499,0.565121412803532
8,genitourinary|emotion,0.04659048401109436,0.41501103752759383,0.5860927152317881
9,oncologic|emotion,0.02702762884621496,0.31015452538631344,0.6909492273730684
10,written media references|emotion,0.013899923406624838,0.18984547461368653,0.8112582781456954
11,chemical process|emotion,0.03320537258249267,0.347682119205298,0.6534216335540839
12,metabolic|emotion,0.014929547362671122,0.2041942604856512,0.7969094922737306
13,hematologic|emotion,0.0020592479120925683,0.04856512141280353,0.9525386313465783
14,musculoskeletal|emotion,0.0015444359340694264,0.03421633554083885,0.9668874172185431
15,place references|emotion,0.006949961703312419,0.11368653421633554,0.8874172185430463
16,property of toxin|emotion,0.16731389285752118,0.6920529801324503,0.3090507726269316
17,somatic sensation|emotion,0.004890713791219851,0.08940397350993377,0.9116997792494481
18,neurologic disorder|emotion,0.1513547215388038,0.6479028697571744,0.35320088300220753
19,perception|emotion,0.27001888247313804,0.8796909492273731,0.12141280353200883
20,endocrine|emotion,0.0007722179670347132,0.01545253863134658,0.9856512141280354
21,sense of self|emotion,0.06563852719795062,0.4856512141280353,0.5154525386313465
22,use of substance|emotion,0.14517697780252609,0.6379690949227373,0.3631346578366446
23,sexual activity|emotion,0.03449240252755052,0.3543046357615894,0.6467991169977925
24,uninterpretable|emotion,0.43372909148449723,0.9381898454746137,0.06291390728476821
25,respiratory|emotion,0.018533231208833118,0.24282560706401765,0.7582781456953642
26,activity references|emotion,0.0012870299450578552,0.025386313465783666,0.9757174392935982
28,esp|emotion,0.094210591978235,0.5408388520971302,0.4602649006622517
29,infectious|emotion,0.013385111428601694,0.17880794701986755,0.8222958057395143
30,cognitive ability|emotion,0.1449195718135145,0.6368653421633554,0.36423841059602646
31,behavior|emotion,0.17992678631908818,0.7373068432671082,0.26379690949227375
32,integumentary|emotion,0.021364697087960398,0.2726269315673289,0.7284768211920529
33,emotion|global nervous system,0.44491263299465317,0.9459161147902869,0.05518763796909492
34,global nervous system|global nervous system,0.8508210381339059,0.9878587196467992,0.013245033112582781
35,immunologic|global nervous system,0.00264435443087461,0.05849889624724062,0.9426048565121413
36,motor|global nervous system,0.01983265823155958,0.2560706401766004,0.7450331125827815
37,misclassified|global nervous system,0.21948141776259267,0.8200883002207505,0.18101545253863136
38,gastrointestinal|global nervous system,0.12494574685882534,0.6059602649006622,0.39514348785871967
39,song references|global nervous system,0.001322177215437305,0.02869757174392936,0.9724061810154525
40,cardiovascular|global nervous system,0.07139756963361447,0.4966887417218543,0.5044150110375276
41,genitourinary|global nervous system,0.0641255949487093,0.48013245033112584,0.5209713024282561
42,oncologic|global nervous system,0.02313810127015284,0.28642384105960267,0.7152317880794702
43,written media references|global nervous system,0.018510481016122272,0.24172185430463577,0.7593818984547461
44,chemical process|global nervous system,0.0390042278554005,0.37637969094922735,0.6247240618101545
45,metabolic|global nervous system,0.013882860762091704,0.18818984547461368,0.8134657836644592
46,hematologic|global nervous system,0.0019832658231559576,0.046357615894039736,0.9558498896247241
47,musculoskeletal|global nervous system,0.0019832658231559576,0.046357615894039736,0.9558498896247241
48,place references|global nervous system,0.011238506331217094,0.15673289183222958,0.8443708609271523
49,property of toxin|global nervous system,0.21551488611628072,0.8145695364238411,0.18653421633554085
50,somatic sensation|global nervous system,0.005949797469467873,0.10485651214128035,0.8962472406181016
51,neurologic disorder|global nervous system,0.17452739243772428,0.7207505518763797,0.2803532008830022
52,perception|global nervous system,0.29484551904251904,0.8874172185430463,0.11368653421633554
53,endocrine|global nervous system,0.0019832658231559576,0.046357615894039736,0.9558498896247241
54,sense of self|global nervous system,0.06941430381045852,0.4878587196467991,0.5132450331125827
55,use of substance|global nervous system,0.18047718990719214,0.7406181015452539,0.26048565121412803
56,sexual activity|global nervous system,0.03966531646311916,0.3818984547461369,0.6192052980132451
57,uninterpretable|global nervous system,0.43102977223256145,0.934878587196468,0.06622516556291391
