,name,conditional_probability,percentile,p_value
0,serotonergic|opioid,0.0004089310542242578,0.07774914089347079,0.9235395189003437
2,cardioactive|opioid,0.0023718001145006952,0.23109965635738833,0.7697594501718213
3,antibiotic/antifungal|opioid,0.0025353725361903982,0.2345360824742268,0.7663230240549829
4,ssri|opioid,0.004498241596466835,0.3127147766323024,0.6881443298969072
5,ergot|opioid,0.001472151795207328,0.1799828178694158,0.8213058419243986
6,anti-inflammatory|opioid,0.001472151795207328,0.1799828178694158,0.8213058419243986
7,mushrooms|opioid,8.178621084485157e-05,0.010309278350515464,0.993127147766323
11,antacid|opioid,0.00032714484337940627,0.05670103092783505,0.9450171821305842
12,stimulants|opioid,0.13192115809274557,0.9183848797250859,0.08247422680412371
13,moiety|opioid,0.008423979717019709,0.4106529209621993,0.5902061855670103
16,salicylate|opioid,8.178621084485157e-05,0.010309278350515464,0.993127147766323
17,alcohol|opioid,0.004171096753087429,0.30455326460481097,0.6967353951890034
19,cholinergic plant|opioid,0.00016357242168970313,0.023195876288659795,0.9785223367697594
20,dopamine agonist|opioid,0.0004089310542242578,0.07774914089347079,0.9235395189003437
21,paralytic|opioid,0.00016357242168970313,0.023195876288659795,0.9785223367697594
22,abortifacient|opioid,8.178621084485157e-05,0.010309278350515464,0.993127147766323
23,analgesic|opioid,0.00032714484337940627,0.05670103092783505,0.9450171821305842
24,anticholinergic medicine|opioid,0.010141490144761593,0.4527491408934708,0.5481099656357389
25,maoi|opioid,0.005643248548294758,0.3402061855670103,0.6606529209621993
26,functional class|opioid,0.024208718410076064,0.6030927835051546,0.39776632302405496
27,plant|opioid,0.00368037948801832,0.2860824742268041,0.7147766323024055
28,chemotherapeutic|opioid,0.001717510427741883,0.19158075601374572,0.8092783505154639
29,nsaid|opioid,0.0010632207409830702,0.14432989690721648,0.8565292096219931
31,anesthetic|opioid,0.001308579373517625,0.17010309278350516,0.8307560137457045
32,hepatotoxin|opioid,8.178621084485157e-05,0.010309278350515464,0.993127147766323
33,anabolic hormones|opioid,0.000736075897603664,0.11984536082474227,0.8814432989690721
