,name,conditional_probability,percentile,p_value
0,opioid|emotion,0.1328959217805223,0.9388127853881278,0.062100456621004566
1,serotonergic|emotion,0.0005146018268364853,0.13333333333333333,0.8684931506849315
3,cardioactive|emotion,0.005660620095201338,0.4986301369863014,0.502283105022831
4,antibiotic/antifungal|emotion,0.003216261417728033,0.40273972602739727,0.5981735159817352
5,ssri|emotion,0.006046571465328702,0.5178082191780822,0.4831050228310502
6,ergot|emotion,0.0015438054805094559,0.29360730593607304,0.7077625570776256
7,anti-inflammatory|emotion,0.00025730091341824265,0.04337899543378995,0.9598173515981735
8,mushrooms|emotion,0.0007719027402547279,0.20593607305936074,0.7954337899543379
10,neurotoxin|emotion,0.00012865045670912132,0.011872146118721462,0.9917808219178083
13,stimulants|emotion,0.1738067670140229,0.9552511415525115,0.045662100456621
14,moiety|emotion,0.004631416441528367,0.4557077625570776,0.5452054794520548
16,sexual enhancement|emotion,0.00038595137012736397,0.10639269406392694,0.8958904109589041
18,alcohol|emotion,0.012993696127621253,0.6721461187214612,0.3287671232876712
19,chemical process|emotion,0.00012865045670912132,0.011872146118721462,0.9917808219178083
20,cholinergic plant|emotion,0.0007719027402547279,0.20593607305936074,0.7954337899543379
21,dopamine agonist|emotion,0.00038595137012736397,0.10639269406392694,0.8958904109589041
23,abortifacient|emotion,0.00012865045670912132,0.011872146118721462,0.9917808219178083
24,analgesic|emotion,0.0005146018268364853,0.13333333333333333,0.8684931506849315
25,anticholinergic medicine|emotion,0.016724559372185772,0.7168949771689498,0.28401826484018267
26,maoi|emotion,0.0030876109610189118,0.39452054794520547,0.6063926940639269
27,functional class|emotion,0.04206869934388267,0.8191780821917808,0.1817351598173516
28,plant|emotion,0.00681847420558343,0.5324200913242009,0.4684931506849315
29,chemotherapeutic|emotion,0.0015438054805094559,0.29360730593607304,0.7077625570776256
30,nsaid|emotion,0.0006432522835456066,0.16940639269406393,0.8319634703196347
32,anesthetic|emotion,0.00038595137012736397,0.10639269406392694,0.8958904109589041
34,anabolic hormones|emotion,0.00025730091341824265,0.04337899543378995,0.9598173515981735
35,antinausea|emotion,0.00038595137012736397,0.10639269406392694,0.8958904109589041
36,antihyperglycemic|emotion,0.00012865045670912132,0.011872146118721462,0.9917808219178083
