,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,chemical process,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,esp,infectious,cognitive ability,behavior,integumentary
opioid,1033.0,459.0,12.0,20.0,539.0,506.0,1.0,169.0,90.0,94.0,23.0,47.0,51.0,13.0,13.0,22.0,426.0,61.0,355.0,404.0,1.0,106.0,487.0,72.0,1132.0,28.0,3.0,0.0,115.0,75.0,390.0,364.0,64.0
serotonergic,4.0,1.0,1.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,5.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,0.0
unclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cardioactive,44.0,17.0,1.0,4.0,21.0,15.0,0.0,11.0,3.0,1.0,1.0,7.0,4.0,0.0,0.0,2.0,25.0,1.0,19.0,42.0,2.0,6.0,27.0,5.0,38.0,2.0,0.0,0.0,7.0,7.0,17.0,10.0,2.0
antibiotic/antifungal,25.0,12.0,3.0,3.0,11.0,19.0,0.0,13.0,5.0,5.0,0.0,4.0,0.0,1.0,0.0,0.0,13.0,0.0,11.0,13.0,1.0,0.0,18.0,3.0,28.0,2.0,0.0,0.0,4.0,7.0,10.0,5.0,3.0
ssri,47.0,21.0,0.0,4.0,24.0,23.0,0.0,27.0,14.0,2.0,1.0,15.0,1.0,0.0,0.0,0.0,26.0,0.0,26.0,19.0,0.0,9.0,22.0,12.0,52.0,7.0,0.0,0.0,9.0,6.0,23.0,18.0,0.0
ergot,12.0,6.0,1.0,0.0,6.0,9.0,0.0,4.0,2.0,1.0,0.0,4.0,1.0,0.0,0.0,3.0,12.0,1.0,10.0,17.0,0.0,4.0,5.0,0.0,14.0,0.0,0.0,0.0,5.0,2.0,7.0,3.0,3.0
anti-inflammatory,2.0,1.0,0.0,0.0,1.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,3.0,5.0,0.0,1.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0
mushrooms,6.0,2.0,0.0,0.0,3.0,5.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,4.0,0.0,4.0,8.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,3.0
anticoagulant,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
neurotoxin,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
misclassified,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
antacid,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
stimulants,1351.0,701.0,26.0,80.0,781.0,463.0,2.0,268.0,204.0,147.0,28.0,111.0,102.0,30.0,5.0,43.0,653.0,34.0,617.0,724.0,7.0,192.0,713.0,135.0,1464.0,51.0,8.0,0.0,213.0,98.0,519.0,472.0,72.0
moiety,36.0,19.0,3.0,0.0,30.0,16.0,0.0,11.0,8.0,9.0,3.0,11.0,6.0,1.0,1.0,1.0,26.0,4.0,20.0,29.0,0.0,9.0,27.0,6.0,44.0,3.0,0.0,0.0,9.0,7.0,24.0,8.0,3.0
snakes,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sexual enhancement,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
salicylate,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
alcohol,101.0,35.0,0.0,6.0,79.0,40.0,1.0,14.0,8.0,2.0,4.0,9.0,1.0,0.0,0.0,0.0,57.0,3.0,35.0,49.0,0.0,14.0,45.0,6.0,120.0,10.0,0.0,0.0,16.0,16.0,56.0,49.0,9.0
chemical process,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
cholinergic plant,6.0,4.0,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,6.0,1.0,6.0,0.0,0.0,0.0,2.0,1.0,5.0,2.0,0.0
dopamine agonist,3.0,3.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,0.0
paralytic,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
abortifacient,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
analgesic,4.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0
anticholinergic medicine,130.0,101.0,2.0,7.0,52.0,48.0,0.0,30.0,15.0,4.0,6.0,21.0,6.0,2.0,3.0,1.0,105.0,7.0,66.0,90.0,2.0,23.0,94.0,15.0,145.0,6.0,0.0,0.0,34.0,12.0,63.0,62.0,6.0
maoi,24.0,11.0,0.0,2.0,12.0,15.0,0.0,24.0,12.0,5.0,0.0,10.0,3.0,0.0,0.0,0.0,10.0,3.0,13.0,9.0,0.0,8.0,16.0,4.0,23.0,4.0,0.0,0.0,3.0,4.0,13.0,0.0,2.0
functional class,327.0,186.0,7.0,18.0,180.0,118.0,2.0,77.0,70.0,35.0,10.0,28.0,19.0,4.0,0.0,11.0,183.0,8.0,142.0,225.0,5.0,49.0,171.0,49.0,349.0,14.0,1.0,0.0,68.0,39.0,148.0,118.0,12.0
plant,53.0,36.0,1.0,1.0,34.0,24.0,0.0,14.0,11.0,2.0,0.0,3.0,4.0,0.0,0.0,2.0,33.0,2.0,19.0,28.0,2.0,3.0,30.0,8.0,51.0,2.0,0.0,0.0,5.0,12.0,25.0,16.0,6.0
chemotherapeutic,12.0,5.0,1.0,0.0,11.0,8.0,0.0,5.0,7.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,8.0,1.0,7.0,10.0,0.0,3.0,10.0,0.0,13.0,0.0,0.0,0.0,3.0,6.0,7.0,2.0,4.0
nsaid,5.0,2.0,0.0,0.0,2.0,3.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,3.0,6.0,0.0,0.0,4.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
cyanogenic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anesthetic,3.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,1.0,3.0,1.0
hepatotoxin,0.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
anabolic hormones,2.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
antinausea,3.0,2.0,0.0,1.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,7.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0
antihyperglycemic,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
hiv medications,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
nonopioid analgesic,2.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
inhalant,8.0,2.0,1.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,6.0,0.0,2.0,1.0,1.0,9.0,1.0,0.0,0.0,1.0,0.0,8.0,6.0,0.0
psychedelic,2778.0,1131.0,13.0,109.0,1450.0,609.0,8.0,318.0,331.0,151.0,109.0,234.0,92.0,10.0,2.0,55.0,1169.0,30.0,1030.0,2267.0,2.0,458.0,990.0,184.0,2750.0,109.0,10.0,0.0,706.0,78.0,950.0,1110.0,97.0
antipsychotic,22.0,24.0,0.0,3.0,15.0,9.0,0.0,10.0,4.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,19.0,0.0,24.0,12.0,0.0,1.0,12.0,4.0,33.0,0.0,0.0,0.0,5.0,1.0,10.0,10.0,2.0
bulking agent,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0
serm,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
metabolite,35.0,18.0,0.0,5.0,19.0,20.0,0.0,5.0,6.0,4.0,0.0,4.0,3.0,1.0,1.0,2.0,15.0,4.0,10.0,16.0,0.0,5.0,18.0,4.0,39.0,2.0,0.0,0.0,9.0,6.0,23.0,10.0,7.0
cannabinoid receptor agonists,488.0,195.0,3.0,7.0,312.0,132.0,0.0,57.0,46.0,38.0,12.0,39.0,23.0,0.0,2.0,10.0,216.0,12.0,199.0,329.0,2.0,68.0,193.0,26.0,518.0,29.0,1.0,0.0,101.0,20.0,191.0,183.0,25.0
endogenous chemical,284.0,164.0,11.0,17.0,158.0,105.0,0.0,74.0,58.0,37.0,9.0,38.0,25.0,3.0,4.0,13.0,178.0,6.0,141.0,195.0,2.0,41.0,160.0,35.0,291.0,11.0,0.0,0.0,64.0,27.0,134.0,96.0,14.0
sedative,86.0,79.0,1.0,1.0,37.0,34.0,1.0,13.0,13.0,10.0,2.0,7.0,5.0,2.0,1.0,4.0,56.0,3.0,41.0,56.0,1.0,12.0,51.0,6.0,102.0,4.0,0.0,0.0,17.0,1.0,27.0,44.0,5.0
antidepressant,8.0,4.0,2.0,0.0,7.0,8.0,0.0,4.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,2.0,0.0,4.0,7.0,5.0,11.0,5.0,0.0,0.0,2.0,5.0,10.0,3.0,0.0
structural class,499.0,246.0,6.0,28.0,253.0,152.0,0.0,88.0,61.0,22.0,13.0,56.0,22.0,6.0,1.0,12.0,266.0,16.0,196.0,417.0,3.0,81.0,206.0,48.0,485.0,21.0,1.0,0.0,118.0,29.0,176.0,186.0,22.0
chemical reagent,54.0,22.0,2.0,6.0,51.0,26.0,1.0,17.0,8.0,10.0,1.0,15.0,1.0,2.0,0.0,7.0,34.0,6.0,24.0,44.0,1.0,7.0,35.0,6.0,68.0,5.0,0.0,0.0,21.0,7.0,43.0,23.0,8.0
androgen/estrogen,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
uncoupler,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
steroid,5.0,3.0,0.0,1.0,2.0,3.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,0.0,1.0,2.0,4.0,1.0,0.0,3.0,3.0,2.0,5.0,3.0,0.0,0.0,2.0,4.0,2.0,3.0,3.0
nootropic,2.0,2.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0
acetaminophen-containing,102.0,43.0,0.0,4.0,42.0,76.0,1.0,11.0,5.0,8.0,2.0,5.0,1.0,0.0,1.0,2.0,35.0,2.0,26.0,35.0,0.0,12.0,57.0,6.0,116.0,3.0,0.0,0.0,13.0,2.0,45.0,41.0,4.0
element,117.0,41.0,2.0,4.0,80.0,54.0,1.0,19.0,15.0,18.0,2.0,21.0,8.0,1.0,3.0,5.0,47.0,2.0,39.0,54.0,3.0,19.0,47.0,10.0,162.0,6.0,0.0,0.0,18.0,7.0,56.0,47.0,9.0
tricyclic antidepressants,4.0,6.0,1.0,0.0,6.0,3.0,0.0,4.0,5.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,2.0,2.0,4.0,6.0,3.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0
antithyroid,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0
nmda antagonist,1.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
vasoactive,32.0,20.0,0.0,1.0,17.0,13.0,0.0,11.0,16.0,2.0,0.0,6.0,2.0,3.0,1.0,2.0,22.0,2.0,17.0,21.0,0.0,9.0,21.0,5.0,28.0,6.0,0.0,0.0,7.0,6.0,20.0,11.0,4.0
