,prior,marginal,conditional_probability,source,percentile,p_value,bh_thresh,bayes ratio
3325,psychedelic,antihyperglycemic,0.0002809284685886856,dd,1.0,0.00014983518130056938,0.05000000000000001,0.0008006405124099279
3298,stimulants,antihyperglycemic,0.0002458124100150999,dd,0.9998501648186995,0.00029967036260113877,0.04999250824093498,0.0012437810945273632
3346,opioid,hiv medications,0.00015802226358113566,dd,0.9997003296373989,0.0004495055439017081,0.04998501648186995,0.0007013715710723193
1821,opioid,antacid,0.0001404642342943428,dd,0.9995504944560983,0.0005993407252022775,0.049977524722804915,0.0006234413965087282
3041,opioid,anesthetic,0.00011237138743547423,dd,0.9994006592747977,0.0007491759065028469,0.049970032963739884,0.0004987531172069825
4274,stimulants,uncoupler,0.0001053481757207571,dd,0.9992508240934972,0.0008990110878034162,0.04996254120467487,0.0005330490405117271
3359,stimulants,hiv medications,8.779014643396425e-05,dd,0.9990260713215463,0.001198681450404555,0.04995130356607731,0.0004442075337597725
4640,stimulants,antithyroid,8.779014643396425e-05,dd,0.9990260713215463,0.001198681450404555,0.04995130356607731,0.0004442075337597725
2383,stimulants,dopamine agonist,7.608479357610235e-05,dd,0.9988013185495954,0.0013485166317051243,0.04994006592747977,0.0003849798625918028
2871,stimulants,chemotherapeutic,7.315845536163689e-05,dd,0.9986514833682949,0.0014983518130056938,0.04993257416841474,0.0003701729447998105
4627,opioid,antithyroid,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.0003117206982543641
4396,stimulants,nootropic,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.00035536602700781805
3312,functional class,antihyperglycemic,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.002954209748892171
3314,chemotherapeutic,antihyperglycemic,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.08333333333333333
4288,functional class,uncoupler,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.002954209748892171
3331,endogenous chemical,antihyperglycemic,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.0032948929159802307
3334,structural class,antihyperglycemic,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.001568627450980392
3725,stimulants,serm,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.00035536602700781805
3329,metabolite,antihyperglycemic,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.0273972602739726
3313,plant,antihyperglycemic,7.02321171471714e-05,dd,0.9978273898711417,0.0029967036260113876,0.04989136949355709,0.0196078431372549
2898,psychedelic,chemotherapeutic,6.730577893270593e-05,dd,0.9970032963739887,0.003146538807311957,0.04985016481869944,0.00019182012276487857
3163,opioid,anabolic hormones,6.320890543245427e-05,dd,0.996853461192688,0.003296373988612526,0.049842673059634406,0.0002805486284289277
4762,stimulants,vasoactive,6.0198957554718347e-05,dd,0.9967036260113875,0.0034462091699130957,0.049835181300569374,0.0003045994517209869
4728,psychedelic,nmda antagonist,5.85267642893095e-05,dd,0.9965537908300869,0.003596044351213665,0.04982768954150435,0.00016680010675206833
1529,stimulants,anti-inflammatory,5.672594077271536e-05,dd,0.9964039556487864,0.0037458795325142342,0.04982019778243932,0.00028702640642939146
3372,maoi,hiv medications,5.267408786037855e-05,dd,0.9961792028768355,0.004045549895115373,0.04980896014384178,0.016129032258064516
3350,antibiotic/antifungal,hiv medications,5.267408786037855e-05,dd,0.9961792028768355,0.004045549895115373,0.04980896014384178,0.02586206896551724
1956,stimulants,moiety,5.0952712440104744e-05,dd,0.9959544501048846,0.004195385076415942,0.04979772250524424,0.00025781456861351503
1516,opioid,anti-inflammatory,4.862223494804174e-05,dd,0.9958046149235841,0.004345220257716512,0.049790230746179207,0.0002158066372530213
4444,opioid,acetaminophen-containing,4.833177954213946e-05,dd,0.9956547797422834,0.004495055439017081,0.049782738987114175,0.00021451746976644412
3786,stimulants,metabolite,4.810418982682972e-05,dd,0.9955049445609829,0.00464489062031765,0.04977524722804915,0.00024340138836151918
2688,stimulants,maoi,4.7954187514466494e-05,dd,0.9953551093796823,0.00479472580161822,0.04976775546898412,0.000242642394784908
4789,psychedelic,vasoactive,4.626401367631132e-05,dd,0.9952052741983818,0.0049445609829187895,0.049760263709919095,0.00013185151295639686
4579,stimulants,tricyclic antidepressants,4.608982687783123e-05,dd,0.9950554390170812,0.005094396164219359,0.04975277195085406,0.0002332089552238806
2537,cannabinoid receptor agonists,abortifacient,4.3895073216982125e-05,dd,0.9949056038357806,0.005244231345519928,0.04974528019178903,0.0012376237623762376
2334,anticholinergic medicine,cholinergic plant,4.291962714549363e-05,dd,0.9947557686544801,0.005394066526820497,0.04973778843272401,0.00334855403348554
3176,stimulants,anabolic hormones,4.213927028830284e-05,dd,0.9946059334731795,0.0055439017081210665,0.04973029667365898,0.0002132196162046908
2397,functional class,dopamine agonist,4.096873500251665e-05,dd,0.994456098291879,0.005693736889421637,0.04972280491459395,0.0017232890201870998
4030,stimulants,antidepressant,3.753785571659161e-05,dd,0.9943062631105783,0.005843572070722206,0.04971531315552892,0.00018993701443521308
8571,psychedelic,esp,3.662029151100666e-05,sd,0.9941564279292778,0.005993407252022775,0.04970782139646389,0.00010436709781414497
2837,psychedelic,plant,3.6493158909804746e-05,dd,0.9940065927479772,0.006143242433323344,0.04970032963739887,0.0001040047724454073
3935,psychedelic,endogenous chemical,3.581028048937323e-05,dd,0.9938567575666767,0.006293077614623914,0.04969283787833384,0.00010205858261568068
1943,opioid,moiety,3.5460333657640467e-05,dd,0.9937069223853761,0.006442912795924483,0.04968534611926881,0.00015738839176568386
3303,alcohol,antihyperglycemic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.003745318352059925
4423,psychedelic,nootropic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00010008006405124099
3371,anticholinergic medicine,hiv medications,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00273972602739726
4652,anticholinergic medicine,antithyroid,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00273972602739726
1846,anticholinergic medicine,antacid,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00273972602739726
2593,psychedelic,analgesic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00010008006405124099
3345,vasoactive,antihyperglycemic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.015873015873015872
4680,steroid,antithyroid,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.1
2410,psychedelic,dopamine agonist,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00010008006405124099
3335,chemical reagent,antihyperglycemic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.004878048780487805
4683,element,antithyroid,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0029411764705882353
1678,psychedelic,anticoagulant,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00010008006405124099
1684,endogenous chemical,anticoagulant,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0016474464579901153
1834,stimulants,antacid,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00017768301350390902
1346,stimulants,antibiotic/antifungal,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00017768301350390902
1744,cannabinoid receptor agonists,neurotoxin,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0009900990099009901
1739,psychedelic,neurotoxin,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00010008006405124099
3758,endogenous chemical,serm,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0016474464579901153
1685,sedative,anticoagulant,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.004651162790697674
1839,alcohol,antacid,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.003745318352059925
1665,functional class,anticoagulant,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0014771048744460856
1867,endogenous chemical,antacid,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0016474464579901153
3285,opioid,antihyperglycemic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00015586034912718204
2078,stimulants,sexual enhancement,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00017768301350390902
3291,ergot,antihyperglycemic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.016393442622950817
4301,psychedelic,uncoupler,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00010008006405124099
3288,cardioactive,antihyperglycemic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.009009009009009009
4307,endogenous chemical,uncoupler,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0016474464579901153
4261,opioid,uncoupler,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00015586034912718204
2126,opioid,salicylate,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00015586034912718204
2133,anti-inflammatory,salicylate,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.07692307692307691
2153,functional class,salicylate,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0014771048744460856
1651,stimulants,anticoagulant,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00017768301350390902
3330,cannabinoid receptor agonists,antihyperglycemic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0009900990099009901
2288,psychedelic,chemical process,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00010008006405124099
2349,psychedelic,cholinergic plant,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00010008006405124099
4593,functional class,tricyclic antidepressants,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.0014771048744460856
2375,ssri,dopamine agonist,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.005154639175257732
3310,anticholinergic medicine,antihyperglycemic,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00273972602739726
1870,structural class,antacid,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.000784313725490196
4335,stimulants,steroid,3.51160585735857e-05,dd,0.9905603835780641,0.012586155229247827,0.04952801917890321,0.00017768301350390902
1983,psychedelic,moiety,3.3394683153311894e-05,dd,0.9874138447707522,0.012735990410548396,0.04937069223853761,9.51741785585331e-05
1312,psychedelic,cardioactive,3.3217893245283774e-05,dd,0.9872640095894516,0.012885825591848966,0.04936320047947259,9.467033085928203e-05
4571,ssri,tricyclic antidepressants,3.29213049127366e-05,dd,0.9871141744081511,0.013035660773149535,0.04935570872040756,0.004832474226804125
2776,psychedelic,functional class,3.2730033914228325e-05,dd,0.9869643392268505,0.013185495954450104,0.04934821696134253,9.327994153077262e-05
4118,psychedelic,structural class,3.2279231880974464e-05,dd,0.9868145040455499,0.013335331135750673,0.049340725202277495,9.199516475925839e-05
3237,stimulants,antinausea,3.121427428763173e-05,dd,0.986589751273599,0.013635001498351814,0.049329487563679955,0.0001579404564479191
3224,opioid,antinausea,3.121427428763173e-05,dd,0.986589751273599,0.013635001498351814,0.049329487563679955,0.00013854253255749514
2810,stimulants,plant,3.098475756492856e-05,dd,0.9863649985016482,0.013784836679652383,0.049318249925082415,0.00015677912956227268
3508,psychedelic,inhalant,3.090213154475542e-05,dd,0.9862151633203476,0.013934671860952952,0.049310758166017384,8.807045636509208e-05
3908,stimulants,endogenous chemical,3.0892875252544915e-05,dd,0.986065328139047,0.014084507042253521,0.04930326640695235,0.0001563142161632412
3813,psychedelic,metabolite,3.078668148917102e-05,dd,0.9859154929577465,0.01423434222355409,0.04929577464788732,8.774142601752634e-05
2858,opioid,chemotherapeutic,3.072655125188749e-05,dd,0.9857656577764459,0.01438417740485466,0.0492882828888223,0.0001363778054862843
8754,psychedelic,behavior,2.9351524861957926e-05,sd,0.9856158225951454,0.01453401258615523,0.04928079112975727,8.365125835608245e-05
2370,opioid,dopamine agonist,2.926338214465475e-05,dd,0.9853910698231945,0.014833682948756368,0.04926955349115973,0.0001298836242726517
2487,element,paralytic,2.926338214465475e-05,dd,0.9853910698231945,0.014833682948756368,0.04926955349115973,0.0024509803921568627
4022,ssri,antidepressant,2.9061565716070924e-05,dd,0.9851663170512436,0.014983518130056937,0.049258315852562184,0.004265908282971916
8605,stimulants,infectious,2.8919107060599988e-05,sd,0.9850164818699431,0.015133353311357506,0.04925082409349716,0.00014632718759145447
3874,psychedelic,cannabinoid receptor agonists,2.8718677605724543e-05,dd,0.9848666466886425,0.015283188492658075,0.04924333233443213,8.184765634289609e-05
2919,opioid,nsaid,2.853179759103838e-05,dd,0.9847168115073419,0.015433023673958645,0.0492358405753671,0.0001266365336658354
4749,opioid,vasoactive,2.8427285511950332e-05,dd,0.9845669763260414,0.015582858855259216,0.04922834881630207,0.00012617266357914738
3203,psychedelic,anabolic hormones,2.8092846858868558e-05,dd,0.9842673059634403,0.016032364399160923,0.04921336529817202,8.006405124099278e-05
