,prior,marginal,conditional_probability,source
0,emotion,emotion,0.0,ss
1,global nervous system,emotion,0.0,ss
2,immunologic,emotion,0.0,ss
3,motor,emotion,0.0,ss
4,misclassified,emotion,0.0,ss
5,gastrointestinal,emotion,0.0,ss
6,song references,emotion,0.0,ss
7,cardiovascular,emotion,0.0,ss
8,genitourinary,emotion,0.0,ss
9,oncologic,emotion,0.0,ss
10,written media references,emotion,0.0,ss
11,chemical process,emotion,0.0,ss
12,metabolic,emotion,0.0,ss
13,hematologic,emotion,0.0,ss
14,musculoskeletal,emotion,0.0,ss
15,place references,emotion,0.0,ss
16,property of toxin,emotion,0.0,ss
17,somatic sensation,emotion,0.0,ss
18,neurologic disorder,emotion,0.0,ss
19,perception,emotion,0.0,ss
20,endocrine,emotion,0.0,ss
21,sense of self,emotion,0.0,ss
22,use of substance,emotion,0.0,ss
23,sexual activity,emotion,0.0,ss
24,uninterpretable,emotion,0.0,ss
25,respiratory,emotion,0.0,ss
26,activity references,emotion,0.0,ss
27,renal,emotion,0.0,ss
28,esp,emotion,0.0,ss
29,infectious,emotion,0.0,ss
30,cognitive ability,emotion,0.0,ss
31,behavior,emotion,0.0,ss
32,integumentary,emotion,0.0,ss
33,emotion,global nervous system,0.0,ss
34,global nervous system,global nervous system,0.0,ss
35,immunologic,global nervous system,0.0,ss
36,motor,global nervous system,0.0,ss
37,misclassified,global nervous system,0.0,ss
38,gastrointestinal,global nervous system,0.0,ss
39,song references,global nervous system,0.0,ss
40,cardiovascular,global nervous system,0.0,ss
41,genitourinary,global nervous system,0.0,ss
42,oncologic,global nervous system,0.0,ss
43,written media references,global nervous system,0.0,ss
44,chemical process,global nervous system,0.0,ss
45,metabolic,global nervous system,0.0,ss
46,hematologic,global nervous system,0.0,ss
47,musculoskeletal,global nervous system,0.0,ss
48,place references,global nervous system,0.0,ss
49,property of toxin,global nervous system,0.0,ss
50,somatic sensation,global nervous system,0.0,ss
51,neurologic disorder,global nervous system,0.0,ss
52,perception,global nervous system,0.0,ss
53,endocrine,global nervous system,0.0,ss
54,sense of self,global nervous system,0.0,ss
55,use of substance,global nervous system,0.0,ss
56,sexual activity,global nervous system,0.0,ss
57,uninterpretable,global nervous system,0.0,ss
58,respiratory,global nervous system,0.0,ss
59,activity references,global nervous system,0.0,ss
60,renal,global nervous system,0.0,ss
61,esp,global nervous system,0.0,ss
62,infectious,global nervous system,0.0,ss
63,cognitive ability,global nervous system,0.0,ss
64,behavior,global nervous system,0.0,ss
65,integumentary,global nervous system,0.0,ss
66,emotion,immunologic,0.0,ss
67,global nervous system,immunologic,0.0,ss
68,immunologic,immunologic,0.0,ss
69,motor,immunologic,0.0,ss
70,misclassified,immunologic,0.0,ss
71,gastrointestinal,immunologic,0.0,ss
72,song references,immunologic,0.0,ss
73,cardiovascular,immunologic,0.0,ss
74,genitourinary,immunologic,0.0,ss
75,oncologic,immunologic,0.0,ss
76,written media references,immunologic,0.0,ss
77,chemical process,immunologic,0.0,ss
78,metabolic,immunologic,0.0,ss
79,hematologic,immunologic,0.0,ss
80,musculoskeletal,immunologic,0.0,ss
81,place references,immunologic,0.0,ss
82,property of toxin,immunologic,0.0,ss
83,somatic sensation,immunologic,0.0,ss
84,neurologic disorder,immunologic,0.0,ss
85,perception,immunologic,0.0,ss
86,endocrine,immunologic,0.0,ss
87,sense of self,immunologic,0.0,ss
88,use of substance,immunologic,0.0,ss
89,sexual activity,immunologic,0.0,ss
90,uninterpretable,immunologic,0.0,ss
91,respiratory,immunologic,0.0,ss
92,activity references,immunologic,0.0,ss
93,renal,immunologic,0.0,ss
94,esp,immunologic,0.0,ss
95,infectious,immunologic,0.0,ss
96,cognitive ability,immunologic,0.0,ss
97,behavior,immunologic,0.0,ss
98,integumentary,immunologic,0.0,ss
99,emotion,motor,0.0,ss
100,global nervous system,motor,0.0,ss
101,immunologic,motor,0.0,ss
102,motor,motor,0.0,ss
103,misclassified,motor,0.0,ss
104,gastrointestinal,motor,0.0,ss
105,song references,motor,0.0,ss
106,cardiovascular,motor,0.0,ss
107,genitourinary,motor,0.0,ss
108,oncologic,motor,0.0,ss
109,written media references,motor,0.0,ss
110,chemical process,motor,0.0,ss
111,metabolic,motor,0.0,ss
112,hematologic,motor,0.0,ss
113,musculoskeletal,motor,0.0,ss
114,place references,motor,0.0,ss
115,property of toxin,motor,0.0,ss
116,somatic sensation,motor,0.0,ss
117,neurologic disorder,motor,0.0,ss
118,perception,motor,0.0,ss
119,endocrine,motor,0.0,ss
120,sense of self,motor,0.0,ss
121,use of substance,motor,0.0,ss
122,sexual activity,motor,0.0,ss
123,uninterpretable,motor,0.0,ss
124,respiratory,motor,0.0,ss
125,activity references,motor,0.0,ss
126,renal,motor,0.0,ss
127,esp,motor,0.0,ss
128,infectious,motor,0.0,ss
129,cognitive ability,motor,0.0,ss
130,behavior,motor,0.0,ss
131,integumentary,motor,0.0,ss
132,emotion,misclassified,0.0,ss
133,global nervous system,misclassified,0.0,ss
134,immunologic,misclassified,0.0,ss
135,motor,misclassified,0.0,ss
136,misclassified,misclassified,0.0,ss
137,gastrointestinal,misclassified,0.0,ss
138,song references,misclassified,0.0,ss
139,cardiovascular,misclassified,0.0,ss
140,genitourinary,misclassified,0.0,ss
141,oncologic,misclassified,0.0,ss
142,written media references,misclassified,0.0,ss
143,chemical process,misclassified,0.0,ss
144,metabolic,misclassified,0.0,ss
145,hematologic,misclassified,0.0,ss
146,musculoskeletal,misclassified,0.0,ss
147,place references,misclassified,0.0,ss
148,property of toxin,misclassified,0.0,ss
149,somatic sensation,misclassified,0.0,ss
150,neurologic disorder,misclassified,0.0,ss
151,perception,misclassified,0.0,ss
152,endocrine,misclassified,0.0,ss
153,sense of self,misclassified,0.0,ss
154,use of substance,misclassified,0.0,ss
155,sexual activity,misclassified,0.0,ss
156,uninterpretable,misclassified,0.0,ss
157,respiratory,misclassified,0.0,ss
158,activity references,misclassified,0.0,ss
159,renal,misclassified,0.0,ss
160,esp,misclassified,0.0,ss
161,infectious,misclassified,0.0,ss
162,cognitive ability,misclassified,0.0,ss
163,behavior,misclassified,0.0,ss
164,integumentary,misclassified,0.0,ss
165,emotion,gastrointestinal,0.0,ss
166,global nervous system,gastrointestinal,0.0,ss
167,immunologic,gastrointestinal,0.0,ss
168,motor,gastrointestinal,0.0,ss
169,misclassified,gastrointestinal,0.0,ss
170,gastrointestinal,gastrointestinal,0.0,ss
171,song references,gastrointestinal,0.0,ss
172,cardiovascular,gastrointestinal,0.0,ss
173,genitourinary,gastrointestinal,0.0,ss
174,oncologic,gastrointestinal,0.0,ss
175,written media references,gastrointestinal,0.0,ss
176,chemical process,gastrointestinal,0.0,ss
177,metabolic,gastrointestinal,0.0,ss
178,hematologic,gastrointestinal,0.0,ss
179,musculoskeletal,gastrointestinal,0.0,ss
180,place references,gastrointestinal,0.0,ss
181,property of toxin,gastrointestinal,0.0,ss
182,somatic sensation,gastrointestinal,0.0,ss
183,neurologic disorder,gastrointestinal,0.0,ss
184,perception,gastrointestinal,0.0,ss
185,endocrine,gastrointestinal,0.0,ss
186,sense of self,gastrointestinal,0.0,ss
187,use of substance,gastrointestinal,0.0,ss
188,sexual activity,gastrointestinal,0.0,ss
189,uninterpretable,gastrointestinal,0.0,ss
190,respiratory,gastrointestinal,0.0,ss
191,activity references,gastrointestinal,0.0,ss
192,renal,gastrointestinal,0.0,ss
193,esp,gastrointestinal,0.0,ss
194,infectious,gastrointestinal,0.0,ss
195,cognitive ability,gastrointestinal,0.0,ss
196,behavior,gastrointestinal,0.0,ss
197,integumentary,gastrointestinal,0.0,ss
198,emotion,song references,0.0,ss
199,global nervous system,song references,0.0,ss
200,immunologic,song references,0.0,ss
201,motor,song references,0.0,ss
202,misclassified,song references,0.0,ss
203,gastrointestinal,song references,0.0,ss
204,song references,song references,0.0,ss
205,cardiovascular,song references,0.0,ss
206,genitourinary,song references,0.0,ss
207,oncologic,song references,0.0,ss
208,written media references,song references,0.0,ss
209,chemical process,song references,0.0,ss
210,metabolic,song references,0.0,ss
211,hematologic,song references,0.0,ss
212,musculoskeletal,song references,0.0,ss
213,place references,song references,0.0,ss
214,property of toxin,song references,0.0,ss
215,somatic sensation,song references,0.0,ss
216,neurologic disorder,song references,0.0,ss
217,perception,song references,0.0,ss
218,endocrine,song references,0.0,ss
219,sense of self,song references,0.0,ss
220,use of substance,song references,0.0,ss
221,sexual activity,song references,0.0,ss
222,uninterpretable,song references,0.0,ss
223,respiratory,song references,0.0,ss
224,activity references,song references,0.0,ss
225,renal,song references,0.0,ss
226,esp,song references,0.0,ss
227,infectious,song references,0.0,ss
228,cognitive ability,song references,0.0,ss
229,behavior,song references,0.0,ss
230,integumentary,song references,0.0,ss
231,emotion,cardiovascular,0.0,ss
232,global nervous system,cardiovascular,0.0,ss
233,immunologic,cardiovascular,0.0,ss
234,motor,cardiovascular,0.0,ss
235,misclassified,cardiovascular,0.0,ss
236,gastrointestinal,cardiovascular,0.0,ss
237,song references,cardiovascular,0.0,ss
238,cardiovascular,cardiovascular,0.0,ss
239,genitourinary,cardiovascular,0.0,ss
240,oncologic,cardiovascular,0.0,ss
241,written media references,cardiovascular,0.0,ss
242,chemical process,cardiovascular,0.0,ss
243,metabolic,cardiovascular,0.0,ss
244,hematologic,cardiovascular,0.0,ss
245,musculoskeletal,cardiovascular,0.0,ss
246,place references,cardiovascular,0.0,ss
247,property of toxin,cardiovascular,0.0,ss
248,somatic sensation,cardiovascular,0.0,ss
249,neurologic disorder,cardiovascular,0.0,ss
250,perception,cardiovascular,0.0,ss
251,endocrine,cardiovascular,0.0,ss
252,sense of self,cardiovascular,0.0,ss
253,use of substance,cardiovascular,0.0,ss
254,sexual activity,cardiovascular,0.0,ss
255,uninterpretable,cardiovascular,0.0,ss
256,respiratory,cardiovascular,0.0,ss
257,activity references,cardiovascular,0.0,ss
258,renal,cardiovascular,0.0,ss
259,esp,cardiovascular,0.0,ss
260,infectious,cardiovascular,0.0,ss
261,cognitive ability,cardiovascular,0.0,ss
262,behavior,cardiovascular,0.0,ss
263,integumentary,cardiovascular,0.0,ss
264,emotion,genitourinary,0.0,ss
265,global nervous system,genitourinary,0.0,ss
266,immunologic,genitourinary,0.0,ss
267,motor,genitourinary,0.0,ss
268,misclassified,genitourinary,0.0,ss
269,gastrointestinal,genitourinary,0.0,ss
270,song references,genitourinary,0.0,ss
271,cardiovascular,genitourinary,0.0,ss
272,genitourinary,genitourinary,0.0,ss
273,oncologic,genitourinary,0.0,ss
274,written media references,genitourinary,0.0,ss
275,chemical process,genitourinary,0.0,ss
276,metabolic,genitourinary,0.0,ss
277,hematologic,genitourinary,0.0,ss
278,musculoskeletal,genitourinary,0.0,ss
279,place references,genitourinary,0.0,ss
280,property of toxin,genitourinary,0.0,ss
281,somatic sensation,genitourinary,0.0,ss
282,neurologic disorder,genitourinary,0.0,ss
283,perception,genitourinary,0.0,ss
284,endocrine,genitourinary,0.0,ss
285,sense of self,genitourinary,0.0,ss
286,use of substance,genitourinary,0.0,ss
287,sexual activity,genitourinary,0.0,ss
288,uninterpretable,genitourinary,0.0,ss
289,respiratory,genitourinary,0.0,ss
290,activity references,genitourinary,0.0,ss
291,renal,genitourinary,0.0,ss
292,esp,genitourinary,0.0,ss
293,infectious,genitourinary,0.0,ss
294,cognitive ability,genitourinary,0.0,ss
295,behavior,genitourinary,0.0,ss
296,integumentary,genitourinary,0.0,ss
297,emotion,oncologic,0.0,ss
298,global nervous system,oncologic,0.0,ss
299,immunologic,oncologic,0.0,ss
300,motor,oncologic,0.0,ss
301,misclassified,oncologic,0.0,ss
302,gastrointestinal,oncologic,0.0,ss
303,song references,oncologic,0.0,ss
304,cardiovascular,oncologic,0.0,ss
305,genitourinary,oncologic,0.0,ss
306,oncologic,oncologic,0.0,ss
307,written media references,oncologic,0.0,ss
308,chemical process,oncologic,0.0,ss
309,metabolic,oncologic,0.0,ss
310,hematologic,oncologic,0.0,ss
311,musculoskeletal,oncologic,0.0,ss
312,place references,oncologic,0.0,ss
313,property of toxin,oncologic,0.0,ss
314,somatic sensation,oncologic,0.0,ss
315,neurologic disorder,oncologic,0.0,ss
316,perception,oncologic,0.0,ss
317,endocrine,oncologic,0.0,ss
318,sense of self,oncologic,0.0,ss
319,use of substance,oncologic,0.0,ss
320,sexual activity,oncologic,0.0,ss
321,uninterpretable,oncologic,0.0,ss
322,respiratory,oncologic,0.0,ss
323,activity references,oncologic,0.0,ss
324,renal,oncologic,0.0,ss
325,esp,oncologic,0.0,ss
326,infectious,oncologic,0.0,ss
327,cognitive ability,oncologic,0.0,ss
328,behavior,oncologic,0.0,ss
329,integumentary,oncologic,0.0,ss
330,emotion,written media references,0.0,ss
331,global nervous system,written media references,0.0,ss
332,immunologic,written media references,0.0,ss
333,motor,written media references,0.0,ss
334,misclassified,written media references,0.0,ss
