,name,conditional_probability,percentile,p_value
96,mescaline|phaeacantha,0.5,0.9987181015979013,0.0026234199856904365
682,LSD|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
714,cocaine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
783,cyclohexylpiperidine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
786,sodium|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
928,triphenylphosphine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
929,cyclohexanone|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
948,MDMA|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
966,phenylpropanolamine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
1025,cathinone|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
1139,phenylalanine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
1157,methamphetamine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
1257,amphetamine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
1269,iodophenethylamine|trimethylsilyl,0.06666666666666668,0.8875804912950155,0.1145957548294777
1909,oxycodone|cobalt,0.02531645569620253,0.7150011924636298,0.28529692344383495
1930,benzoylecgonine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
1952,LSD|cobalt,0.0759493670886076,0.8960767946577629,0.10398282852373003
1957,caffeine|cobalt,0.0379746835443038,0.7938528499880754,0.20629620796565704
1960,cannabimimetic|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
1974,insulin|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
1984,cocaine|cobalt,0.0379746835443038,0.7938528499880754,0.20629620796565704
1985,inositol|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2001,mescaline|cobalt,0.02531645569620253,0.7150011924636298,0.28529692344383495
2008,opioids|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2026,salvia|cobalt,0.02531645569620253,0.7150011924636298,0.28529692344383495
2040,morphine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2045,methadone|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2056,sodium|cobalt,0.0379746835443038,0.7938528499880754,0.20629620796565704
2080,dextromethorphan|cobalt,0.02531645569620253,0.7150011924636298,0.28529692344383495
2087,nicotine|cobalt,0.02531645569620253,0.7150011924636298,0.28529692344383495
2105,dimethcathinone|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2135,fenfluramine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2162,marijuana|cobalt,0.02531645569620253,0.7150011924636298,0.28529692344383495
2171,mephedrone|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2212,benzylethylamine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2214,thebaine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2218,MDMA|cobalt,0.05063291139240506,0.8576198425948008,0.1424397805866921
2236,phenylpropanolamine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2260,dimethylglyoxime|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2267,nitropropene|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2294,quinine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2295,cathinone|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2297,dimethyltryptamine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2330,hydrocodone|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2331,xylazine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2343,tryptamine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2344,hydroxyzine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2374,fentanyl|cobalt,0.02531645569620253,0.7150011924636298,0.28529692344383495
2378,phenethylamine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2407,benzene|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2418,benzodiazepine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2427,methamphetamine|cobalt,0.0379746835443038,0.7938528499880754,0.20629620796565704
2453,titanium|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2456,phenacetin|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2461,aflatoxin|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2507,igg|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2509,other|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
2512,acetaminophen|cobalt,0.02531645569620253,0.7150011924636298,0.28529692344383495
2527,amphetamine|cobalt,0.012658227848101266,0.5121929406153113,0.4887908418793227
3178,cobalt|oxycodone,0.0012944983818770227,0.182864297638922,0.8177915573575006
3183,tranylcypromine|oxycodone,0.0012944983818770227,0.182864297638922,0.8177915573575006
3185,hypericum|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3186,commiphora|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3192,hormone|oxycodone,0.0025889967637540453,0.26651562127355116,0.7336632482709278
3194,fluoxetine|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3196,gerwurtzraminer|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3197,tizanidine|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3200,benzoylecgonine|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3206,phenoperidine|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3221,kratom|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3222,LSD|oxycodone,0.03171521035598705,0.763415215835917,0.23664440734557596
3226,barbiturate|oxycodone,0.0019417475728155341,0.23419985690436443,0.7660386358216075
3227,caffeine|oxycodone,0.01488673139158576,0.5550918196994992,0.4449678034819938
3230,cannabimimetic|oxycodone,0.0012944983818770227,0.182864297638922,0.8177915573575006
3232,iprocin|oxycodone,0.0012944983818770227,0.182864297638922,0.8177915573575006
3233,dinitrophenol|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3234,sevoflorane|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3239,diethylpropion|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3241,phenelzine|oxycodone,0.0019417475728155341,0.23419985690436443,0.7660386358216075
3244,insulin|oxycodone,0.003236245954692557,0.28312067731934176,0.7170283806343907
3247,meperidine|oxycodone,0.007119741100323624,0.420313617934653,0.5797758168375865
3254,cocaine|oxycodone,0.02524271844660194,0.7146732649654186,0.2854161698068209
3259,selegiline|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3260,piperidino|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3267,phenanthrene|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3268,chlorpromazine|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3271,mescaline|oxycodone,0.008414239482200648,0.4478297161936561,0.5522299069878369
3273,psilocybin|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3274,oxytocin|oxycodone,0.0019417475728155341,0.23419985690436443,0.7660386358216075
3278,opioids|oxycodone,0.11067961165048544,0.9449678034819938,0.05509181969949917
3280,fluoroamphetamine|oxycodone,0.0006472491909385113,0.11501311709992845,0.8876699260672549
3285,propoxyphene|oxycodone,0.009708737864077669,0.46977104698306704,0.530288576198426
