,name,conditional_probability,percentile,p_value
19,perception|phaeacantha,1.0,0.9956419711699631,0.008883674153536709
37,misclassified|trimethylsilyl,0.5,0.9844954743546765,0.022292993630573247
57,uninterpretable|trimethylsilyl,0.5,0.9844954743546765,0.022292993630573247
99,emotion|cobalt,0.061224489795918366,0.424321153201475,0.5760978880321823
100,global nervous system|cobalt,0.04081632653061224,0.2857023131076098,0.7147167281260476
103,misclassified|cobalt,0.12244897959183673,0.763493127723768,0.23667448876969494
104,gastrointestinal|cobalt,0.02040816326530612,0.17314783774723433,0.8275226282266175
107,genitourinary|cobalt,0.02040816326530612,0.17314783774723433,0.8275226282266175
108,oncologic|cobalt,0.02040816326530612,0.17314783774723433,0.8275226282266175
110,chemical process|cobalt,0.061224489795918366,0.424321153201475,0.5760978880321823
111,metabolic|cobalt,0.02040816326530612,0.17314783774723433,0.8275226282266175
117,neurologic disorder|cobalt,0.061224489795918366,0.424321153201475,0.5760978880321823
118,perception|cobalt,0.04081632653061224,0.2857023131076098,0.7147167281260476
120,sense of self|cobalt,0.04081632653061224,0.2857023131076098,0.7147167281260476
121,use of substance|cobalt,0.061224489795918366,0.424321153201475,0.5760978880321823
122,sexual activity|cobalt,0.02040816326530612,0.17314783774723433,0.8275226282266175
123,uninterpretable|cobalt,0.16326530612244897,0.8385853167951727,0.1615822996982903
124,respiratory|cobalt,0.02040816326530612,0.17314783774723433,0.8275226282266175
127,esp|cobalt,0.04081632653061224,0.2857023131076098,0.7147167281260476
128,infectious|cobalt,0.02040816326530612,0.17314783774723433,0.8275226282266175
129,cognitive ability|cobalt,0.08163265306122448,0.5740026818638954,0.42624874287629905
130,behavior|cobalt,0.08163265306122448,0.5740026818638954,0.42624874287629905
137,gastrointestinal|tetrahydrocoptisine,0.3333333333333333,0.9655548105933623,0.04609453570231311
140,genitourinary|tetrahydrocoptisine,0.3333333333333333,0.9655548105933623,0.04609453570231311
161,infectious|tetrahydrocoptisine,0.3333333333333333,0.9655548105933623,0.04609453570231311
165,emotion|oxycodone,0.14833127317676145,0.8286959436808582,0.17147167281260475
166,global nervous system|oxycodone,0.06922126081582201,0.48818303721086154,0.5120683875293329
168,motor|oxycodone,0.002472187886279357,0.017432115320147504,0.9829031176667784
169,misclassified|oxycodone,0.0754017305315204,0.5271538719409989,0.473013744552464
170,gastrointestinal|oxycodone,0.07787391841779975,0.5640295005028495,0.4361381159906135
172,cardiovascular|oxycodone,0.029666254635352288,0.21907475695608447,0.7810928595373785
173,genitourinary|oxycodone,0.014833127317676144,0.12931612470667114,0.8709353000335233
174,oncologic|oxycodone,0.01854140914709518,0.15822996982903118,0.8419376466644318
176,chemical process|oxycodone,0.004944375772558714,0.045675494468655715,0.9545759302715388
