,RxNormID
sertraline,36437.0
tizanidine,57258.0
phenylpropanolamine,8175.0
loperamide,6468.0
fluoxetine,4493.0
chamomile,1309226.0
tranylcypromine,10734.0
fentanyl,4337.0
hypericum,1309228.0
vardenafil,306674.0
fenfluramine,4328.0
diphenhydramine,3498.0
pseudoephedrine,8896.0
adrafinil,45938.0
bromocriptine,1760.0
cobalt,1310300.0
THC,10402.0
dextromethorphan,3289.0
dimenhydrinate,3444.0
benzene,1311295.0
naloxone,7242.0
mephentermine,6756.0
phenylalanine,8156.0
imipramine,5691.0
meclizine,6676.0
benzphetamine,1422.0
isocarboxazid,6011.0
phentolamine,8153.0
heroin,3304.0
glycerol,4910.0
venlafaxine,39786.0
chlorine,1310122.0
hyoscyamine,153970.0
propoxyphene,8785.0
phenelzine,8123.0
sodium,9853.0
insulin,253182.0
bupropion,42347.0
vasopressin,11149.0
piper methysticum,285228.0
quinine,9071.0
propranolol,8787.0
diethylpropion,3389.0
fluvoxamine,42355.0
ergometrine,4021.0
furazolidone,4601.0
dichloromethane,1311537.0
pramipexole,746741.0
ritonavir,85762.0
propylene,1314239.0
ephedrine,3966.0
oxytocin,7824.0
buprenorphine,1819.0
phenoperidine,8143.0
percocet,42844.0
mirtazapine,15996.0
meperidine,6754.0
paroxetine,32937.0
selegiline,9639.0
wormwood,1309324.0
vinblastine,11198.0
inositol,5833.0
titanium,1305547.0
quetiapine,51272.0
chlorpromazine,2403.0
sumatriptan,37418.0
cyclizine,2977.0
choline,2449.0
risperidone,35636.0
hydroxyzine,5553.0
ammonium,709.0
dihydrocodeine,23088.0
minaprine,30031.0
olanzapine,61381.0
