name,conditional_probability,percentile,p_value,source,rank,bh_threshold
LSD|MDMA,495,0.9999701884092536,0.00011924636298592893,drug-drug,1.5,2.5356684021908175e-06
MDMA|LSD,495,0.9999701884092536,0.00011924636298592893,drug-drug,1.5,2.5356684021908175e-06
LSD|emotion,937,1.0,0.00016761649346295676,effect-drug,3.5,5.916559605111908e-06
emotion|LSD,937,1.0,0.00016761649346295676,drug-effect,3.5,5.916559605111908e-06
LSD|salvia,383,0.9998509420462676,0.00023849272597185786,drug-drug,5.5,9.297450808032998e-06
salvia|LSD,383,0.9998509420462676,0.00023849272597185786,drug-drug,5.5,9.297450808032998e-06
LSD|uninterpretable,925,0.9998323835065369,0.0003352329869259136,effect-drug,7.5,1.2678342010954088e-05
uninterpretable|LSD,925,0.9998323835065369,0.0003352329869259136,drug-effect,7.5,1.2678342010954088e-05
mescaline|LSD,276,0.9997316956832816,0.0003577390889577868,drug-drug,9.5,1.605923321387518e-05
LSD|mescaline,276,0.9997316956832816,0.0003577390889577868,drug-drug,9.5,1.605923321387518e-05
marijuana|LSD,250,0.9996124493202956,0.0004769854519437157,drug-drug,11.5,1.944012441679627e-05
LSD|marijuana,250,0.9996124493202956,0.0004769854519437157,drug-drug,11.5,1.944012441679627e-05
LSD|perception,830,0.9996647670130742,0.0005028494803888703,effect-drug,13.5,2.2821015619717356e-05
perception|LSD,830,0.9996647670130742,0.0005028494803888703,drug-effect,13.5,2.2821015619717356e-05
amphetamine|MDMA,212,0.9994932029573098,0.0005962318149296446,drug-drug,15.5,2.6201906822638446e-05
MDMA|amphetamine,212,0.9994932029573098,0.0005962318149296446,drug-drug,15.5,2.6201906822638446e-05
salvia|uninterpretable,649,0.9994971505196112,0.0006704659738518272,effect-drug,17.5,2.9582798025559536e-05
uninterpretable|salvia,649,0.9994971505196112,0.0006704659738518272,drug-effect,17.5,2.9582798025559536e-05
marijuana|salvia,206,0.9993739565943238,0.0007154781779155736,drug-drug,19.5,3.2963689228480626e-05
salvia|marijuana,206,0.9993739565943238,0.0007154781779155736,drug-drug,19.5,3.2963689228480626e-05
morphine|opioids,205,0.999254710231338,0.0008347245409015025,drug-drug,21.5,3.634458043140172e-05
opioids|morphine,205,0.999254710231338,0.0008347245409015025,drug-drug,21.5,3.634458043140172e-05
emotion|salvia,643,0.9993295340261482,0.0008380824673147837,drug-effect,23.5,3.9725471634322806e-05
salvia|emotion,643,0.9993295340261482,0.0008380824673147837,effect-drug,23.5,3.9725471634322806e-05
LSD|amphetamine,185,0.999135463868352,0.0009539709038874314,drug-drug,25.5,4.3106362837243896e-05
amphetamine|LSD,185,0.999135463868352,0.0009539709038874314,drug-drug,25.5,4.3106362837243896e-05
emotion|MDMA,620,0.9991619175326852,0.0010056989607777405,drug-effect,27.5,4.648725404016499e-05
MDMA|emotion,620,0.9991619175326852,0.0010056989607777405,effect-drug,27.5,4.648725404016499e-05
MDMA|salvia,182,0.999016217505366,0.0010732172668733604,drug-drug,29.5,4.9868145243086077e-05
salvia|MDMA,182,0.999016217505366,0.0010732172668733604,drug-drug,29.5,4.9868145243086077e-05
MDMA|uninterpretable,566,0.9989943010392224,0.0011733154542406972,effect-drug,31.5,5.3249036446007167e-05
uninterpretable|MDMA,566,0.9989943010392224,0.0011733154542406972,drug-effect,31.5,5.3249036446007167e-05
mescaline|MDMA,175,0.9988373479608872,0.0013117099928452182,drug-drug,34.5,5.832037325038881e-05
MDMA|mescaline,175,0.9988373479608872,0.0013117099928452182,drug-drug,34.5,5.832037325038881e-05
MDMA|marijuana,175,0.9988373479608872,0.0013117099928452182,drug-drug,34.5,5.832037325038881e-05
marijuana|MDMA,175,0.9988373479608872,0.0013117099928452182,drug-drug,34.5,5.832037325038881e-05
misclassified|LSD,497,0.9988266845457592,0.001340931947703654,drug-effect,37.5,6.339171005477044e-05
LSD|misclassified,497,0.9988266845457592,0.001340931947703654,effect-drug,37.5,6.339171005477044e-05
opioids|LSD,172,0.9986584784164084,0.0014309563558311473,drug-drug,39.5,6.677260125769153e-05
LSD|opioids,172,0.9986584784164084,0.0014309563558311473,drug-drug,39.5,6.677260125769153e-05
marijuana|uninterpretable,488,0.9986590680522964,0.0015085484411666108,effect-drug,41.5,7.015349246061263e-05
uninterpretable|marijuana,488,0.9986590680522964,0.0015085484411666108,drug-effect,41.5,7.015349246061263e-05
oxycodone|opioids,171,0.9985392320534224,0.001550202718817076,drug-drug,43.5,7.353438366353371e-05
opioids|oxycodone,171,0.9985392320534224,0.001550202718817076,drug-drug,43.5,7.353438366353371e-05
tryptamine|LSD,164,0.9984199856904364,0.001669449081803005,drug-drug,45.5,7.69152748664548e-05
LSD|tryptamine,164,0.9984199856904364,0.001669449081803005,drug-drug,45.5,7.69152748664548e-05
perception|salvia,466,0.9984914515588332,0.0016761649346295675,drug-effect,47.5,8.02961660693759e-05
salvia|perception,466,0.9984914515588332,0.0016761649346295675,effect-drug,47.5,8.02961660693759e-05
LSD|cocaine,160,0.9983007393274506,0.001788695444788934,drug-drug,49.5,8.367705727229698e-05
cocaine|LSD,160,0.9983007393274506,0.001788695444788934,drug-drug,49.5,8.367705727229698e-05
marijuana|emotion,463,0.9983238350653704,0.0018437814280925246,effect-drug,51.5,8.705794847521807e-05
emotion|marijuana,463,0.9983238350653704,0.0018437814280925246,drug-effect,51.5,8.705794847521807e-05
MDMA|perception,449,0.9981562185719076,0.002011397921555481,effect-drug,53.5,9.043883967813917e-05
perception|MDMA,449,0.9981562185719076,0.002011397921555481,drug-effect,53.5,9.043883967813917e-05
MDMA|cocaine,159,0.9981218697829716,0.0020271881707607923,drug-drug,56.5,9.55101764825208e-05
MDMA|serotonin,159,0.9981218697829716,0.0020271881707607923,drug-drug,56.5,9.55101764825208e-05
serotonin|MDMA,159,0.9981218697829716,0.0020271881707607923,drug-drug,56.5,9.55101764825208e-05
cocaine|MDMA,159,0.9981218697829716,0.0020271881707607923,drug-drug,56.5,9.55101764825208e-05
serotonin|LSD,148,0.9979430002384928,0.002146434533746721,drug-drug,59.5,0.00010058151328690243
LSD|serotonin,148,0.9979430002384928,0.002146434533746721,drug-drug,59.5,0.00010058151328690243
uninterpretable|opioids,414,0.9979886020784444,0.002179014415018438,drug-effect,61.5,0.00010396240448982352
opioids|uninterpretable,414,0.9979886020784444,0.002179014415018438,effect-drug,61.5,0.00010396240448982352
opioids|MDMA,140,0.9978237538755068,0.002265680896732649,drug-drug,63.5,0.00010734329569274463
MDMA|opioids,140,0.9978237538755068,0.002265680896732649,drug-drug,63.5,0.00010734329569274463
emotion|uninterpretable,1685,0.9994279176201372,0.0022883295194508014,symptom-symptom,65.5,0.0001107241868956657
uninterpretable|emotion,1685,0.9994279176201372,0.0022883295194508014,symptom-symptom,65.5,0.0001107241868956657
opioids|emotion,412,0.9978209855849816,0.0023466309084813944,effect-drug,67.5,0.00011410507809858678
emotion|opioids,412,0.9978209855849816,0.0023466309084813944,drug-effect,67.5,0.00011410507809858678
nicotine|salvia,134,0.9977045075125208,0.0023849272597185785,drug-drug,69.5,0.00011748596930150789
salvia|nicotine,134,0.9977045075125208,0.0023849272597185785,drug-drug,69.5,0.00011748596930150789
opioids|salvia,131,0.9975852611495348,0.0025041736227045075,drug-drug,71.5,0.00012086686050442896
salvia|opioids,131,0.9975852611495348,0.0025041736227045075,drug-drug,71.5,0.00012086686050442896
LSD|neurologic disorder,389,0.9976533690915186,0.0025142474019443518,effect-drug,73.5,0.00012424775170735006
neurologic disorder|LSD,389,0.9976533690915186,0.0025142474019443518,drug-effect,73.5,0.00012424775170735006
opioids|hydrocodone,128,0.9974660147865492,0.0026234199856904365,drug-drug,75.5,0.00012762864291027115
hydrocodone|opioids,128,0.9974660147865492,0.0026234199856904365,drug-drug,75.5,0.00012762864291027115
behavior|LSD,388,0.9974857525980556,0.002681863895407308,drug-effect,77.5,0.00013100953411319225
LSD|behavior,388,0.9974857525980556,0.002681863895407308,effect-drug,77.5,0.00013100953411319225
amphetamine|cocaine,124,0.9973467684235632,0.0027426663486763646,drug-drug,79.5,0.00013439042531611332
cocaine|amphetamine,124,0.9973467684235632,0.0027426663486763646,drug-drug,79.5,0.00013439042531611332
mescaline|salvia,121,0.9972275220605772,0.0028619127116622945,drug-drug,81.5,0.00013777131651903442
salvia|mescaline,121,0.9972275220605772,0.0028619127116622945,drug-drug,81.5,0.00013777131651903442
marijuana|nicotine,118,0.9971082756975912,0.002981159074648223,drug-drug,83.5,0.00014115220772195551
nicotine|marijuana,118,0.9971082756975912,0.002981159074648223,drug-drug,83.5,0.00014115220772195551
LSD|property of toxin,379,0.9972343278578611,0.0030170968823332216,effect-drug,86.5,0.00014622354452633715
LSD|global nervous system,379,0.9972343278578611,0.0030170968823332216,effect-drug,86.5,0.00014622354452633715
property of toxin|LSD,379,0.9972343278578611,0.0030170968823332216,drug-effect,86.5,0.00014622354452633715
global nervous system|LSD,379,0.9972343278578611,0.0030170968823332216,drug-effect,86.5,0.00014622354452633715
opioids|cocaine,116,0.9969890293346052,0.003100405437634152,drug-drug,89.5,0.00015129488133071878
cocaine|opioids,116,0.9969890293346052,0.003100405437634152,drug-drug,89.5,0.00015129488133071878
opioids|marijuana,115,0.9968697829716192,0.0032196518006200807,drug-drug,91.5,0.00015467577253363987
marijuana|opioids,115,0.9968697829716192,0.0032196518006200807,drug-drug,91.5,0.00015467577253363987
methamphetamine|amphetamine,113,0.9967505366086334,0.00333889816360601,drug-drug,93.5,0.00015805666373656097
amphetamine|methamphetamine,113,0.9967505366086334,0.00333889816360601,drug-drug,93.5,0.00015805666373656097
LSD|use of substance,318,0.9968990948709352,0.003352329869259135,effect-drug,96.5,0.0001631280005409426
use of substance|LSD,318,0.9968990948709352,0.003352329869259135,drug-effect,96.5,0.0001631280005409426
marijuana|perception,318,0.9968990948709352,0.003352329869259135,effect-drug,96.5,0.0001631280005409426
perception|marijuana,318,0.9968990948709352,0.003352329869259135,drug-effect,96.5,0.0001631280005409426
phenethylamine|MDMA,112,0.9966312902456476,0.003458144526591939,drug-drug,99.5,0.00016819933734532424
MDMA|phenethylamine,112,0.9966312902456476,0.003458144526591939,drug-drug,99.5,0.00016819933734532424
MDMA|misclassified,315,0.9966476701307408,0.0035199463627220923,effect-drug,101.5,0.00017158022854824533
misclassified|MDMA,315,0.9966476701307408,0.0035199463627220923,drug-effect,101.5,0.00017158022854824533
LSD|phenethylamine,111,0.9965120438826616,0.003577390889577868,drug-drug,103.5,0.0001749611197511664
phenethylamine|LSD,111,0.9965120438826616,0.003577390889577868,drug-drug,103.5,0.0001749611197511664
mescaline|uninterpretable,312,0.996480053637278,0.003687562856185049,effect-drug,105.5,0.00017834201095408753
uninterpretable|mescaline,312,0.996480053637278,0.003687562856185049,drug-effect,105.5,0.00017834201095408753
methamphetamine|MDMA,106,0.9963927975196756,0.0036966372525637967,drug-drug,107.5,0.0001817229021570086
MDMA|methamphetamine,106,0.9963927975196756,0.0036966372525637967,drug-drug,107.5,0.0001817229021570086
opioids|methadone,102,0.9962735511566896,0.0038158836155497257,drug-drug,109.5,0.0001851037933599297
methadone|opioids,102,0.9962735511566896,0.0038158836155497257,drug-drug,109.5,0.0001851037933599297
misclassified|salvia,310,0.9963124371438148,0.003855179349648005,drug-effect,111.5,0.0001884846845628508
salvia|misclassified,310,0.9963124371438148,0.003855179349648005,effect-drug,111.5,0.0001884846845628508
nicotine|LSD,101,0.9961543047937038,0.003935129978535654,drug-drug,113.5,0.00019186557576577186
LSD|nicotine,101,0.9961543047937038,0.003935129978535654,drug-drug,113.5,0.00019186557576577186
LSD|cognitive ability,308,0.996144820650352,0.004022795843110962,effect-drug,115.5,0.00019524646696869296
cognitive ability|LSD,308,0.996144820650352,0.004022795843110962,drug-effect,115.5,0.00019524646696869296
phenethylamine|mescaline,98,0.9960350584307178,0.004054376341521585,drug-drug,117.5,0.00019862735817161405
mescaline|phenethylamine,98,0.9960350584307178,0.004054376341521585,drug-drug,117.5,0.00019862735817161405
oxycodone|morphine,95,0.995915812067732,0.0041736227045075115,drug-drug,119.5,0.00020200824937453515
morphine|oxycodone,95,0.995915812067732,0.0041736227045075115,drug-drug,119.5,0.00020200824937453515
amphetamine|uninterpretable,298,0.9959772041568892,0.004190412336573919,effect-drug,121.5,0.00020538914057745625
uninterpretable|amphetamine,298,0.9959772041568892,0.004190412336573919,drug-effect,121.5,0.00020538914057745625
amphetamine|emotion,296,0.995809587663426,0.004358028830036876,effect-drug,123.5,0.00020877003178037732
emotion|amphetamine,296,0.995809587663426,0.004358028830036876,drug-effect,123.5,0.00020877003178037732
emotion|mescaline,295,0.9956419711699632,0.004525645323499832,drug-effect,125.5,0.0002121509229832984
mescaline|emotion,295,0.9956419711699632,0.004525645323499832,effect-drug,125.5,0.0002121509229832984
amphetamine|opioids,94,0.99567731934176,0.004531361793465299,drug-drug,129.5,0.00021891270538914058
caffeine|MDMA,94,0.99567731934176,0.004531361793465299,drug-drug,129.5,0.00021891270538914058
mescaline|amphetamine,94,0.99567731934176,0.004531361793465299,drug-drug,129.5,0.00021891270538914058
opioids|amphetamine,94,0.99567731934176,0.004531361793465299,drug-drug,129.5,0.00021891270538914058
MDMA|caffeine,94,0.99567731934176,0.004531361793465299,drug-drug,129.5,0.00021891270538914058
amphetamine|mescaline,94,0.99567731934176,0.004531361793465299,drug-drug,129.5,0.00021891270538914058
perception|uninterpretable,1051,0.9971395881006864,0.004576659038901603,symptom-symptom,133.5,0.00022567448779498277
uninterpretable|perception,1051,0.9971395881006864,0.004576659038901603,symptom-symptom,133.5,0.00022567448779498277
cocaine|methamphetamine,93,0.9954388266157882,0.004650608156451228,drug-drug,135.5,0.00022905537899790387
methamphetamine|cocaine,93,0.9954388266157882,0.004650608156451228,drug-drug,135.5,0.00022905537899790387
misclassified|marijuana,291,0.9954743546765,0.004693261816962789,drug-effect,137.5,0.00023243627020082494
marijuana|misclassified,291,0.9954743546765,0.004693261816962789,effect-drug,137.5,0.00023243627020082494
cocaine|marijuana,92,0.9953195802528024,0.004769854519437157,drug-drug,139.5,0.00023581716140374604
marijuana|cocaine,92,0.9953195802528024,0.004769854519437157,drug-drug,139.5,0.00023581716140374604
uninterpretable|cocaine,281,0.9953067381830372,0.004860878310425746,drug-effect,141.5,0.00023919805260666713
cocaine|uninterpretable,281,0.9953067381830372,0.004860878310425746,effect-drug,141.5,0.00023919805260666713
tryptamine|MDMA,91,0.9951407107083234,0.005008347245409015,drug-drug,144.5,0.0002442693894110488
MDMA|tryptamine,91,0.9951407107083234,0.005008347245409015,drug-drug,144.5,0.0002442693894110488
oxycodone|hydrocodone,91,0.9951407107083234,0.005008347245409015,drug-drug,144.5,0.0002442693894110488
hydrocodone|oxycodone,91,0.9951407107083234,0.005008347245409015,drug-drug,144.5,0.0002442693894110488
perception|mescaline,275,0.9951391216895744,0.0050284948038887035,drug-effect,147.5,0.0002493407262154304
mescaline|perception,275,0.9951391216895744,0.0050284948038887035,effect-drug,147.5,0.0002493407262154304
salvia|tryptamine,85,0.9949618411638445,0.0051275936083949435,drug-drug,149.5,0.0002527216174183515
tryptamine|salvia,85,0.9949618411638445,0.0051275936083949435,drug-drug,149.5,0.0002527216174183515
behavior|salvia,268,0.9949715051961112,0.0051961112973516604,drug-effect,151.5,0.00025610250862127256
salvia|behavior,268,0.9949715051961112,0.0051961112973516604,effect-drug,151.5,0.00025610250862127256
marijuana|mescaline,84,0.9948425948008586,0.005246839971380873,drug-drug,153.5,0.0002594833998241937
mescaline|marijuana,84,0.9948425948008586,0.005246839971380873,drug-drug,153.5,0.0002594833998241937
property of toxin|salvia,267,0.9948038887026484,0.005363727790814617,drug-effect,155.5,0.00026286429102711476
salvia|property of toxin,267,0.9948038887026484,0.005363727790814617,effect-drug,155.5,0.00026286429102711476
serotonin|amphetamine,82,0.9947233484378728,0.005366086334366802,drug-drug,157.5,0.0002662451822300359
amphetamine|serotonin,82,0.9947233484378728,0.005366086334366802,drug-drug,157.5,0.0002662451822300359
methamphetamine|LSD,79,0.9946041020748868,0.005485332697352731,drug-drug,159.5,0.00026962607343295695
LSD|methamphetamine,79,0.9946041020748868,0.005485332697352731,drug-drug,159.5,0.00026962607343295695
uninterpretable|nicotine,266,0.9946362722091854,0.0055313442842775725,drug-effect,161.5,0.000273006964635878
