,prior,conditional,conditional_probability
96,phaeacantha,mescaline,0.0004145936981757877
682,trimethylsilyl,LSD,0.00017593244194229416
714,trimethylsilyl,cocaine,0.0003965107057890563
786,trimethylsilyl,sodium,0.0013774104683195593
948,trimethylsilyl,MDMA,0.0002181976871045167
966,trimethylsilyl,phenylpropanolamine,0.007299270072992701
1025,trimethylsilyl,cathinone,0.005128205128205128
1139,trimethylsilyl,phenylalanine,0.013157894736842106
1157,trimethylsilyl,methamphetamine,0.0006798096532970769
1257,trimethylsilyl,amphetamine,0.0003489183531053734
1909,cobalt,oxycodone,0.0012944983818770227
1930,cobalt,benzoylecgonine,0.016393442622950817
1952,cobalt,LSD,0.001055594651653765
1957,cobalt,caffeine,0.0018061408789885613
1960,cobalt,cannabimimetic,0.02127659574468085
1974,cobalt,insulin,0.006289308176100629
1984,cobalt,cocaine,0.001189532117367169
1985,cobalt,inositol,0.010526315789473684
2001,cobalt,mescaline,0.0008291873963515755
2008,cobalt,opioids,0.0002671653753673524
2026,cobalt,salvia,0.0005370569280343716
2040,cobalt,morphine,0.0005753739930955121
2045,cobalt,methadone,0.0010928961748633882
2056,cobalt,sodium,0.004132231404958678
2080,cobalt,dextromethorphan,0.0034071550255536627
2087,cobalt,nicotine,0.0010193679918450561
2105,cobalt,dimethcathinone,0.038461538461538464
2135,cobalt,fenfluramine,0.015625
2162,cobalt,marijuana,0.000643707756678468
2171,cobalt,mephedrone,0.00398406374501992
2212,cobalt,benzylethylamine,0.038461538461538464
2214,cobalt,thebaine,0.0033444816053511705
2218,cobalt,MDMA,0.0008727907484180668
2236,cobalt,phenylpropanolamine,0.007299270072992701
2260,cobalt,dimethylglyoxime,0.038461538461538464
2267,cobalt,nitropropene,0.03333333333333334
2294,cobalt,quinine,0.01492537313432836
2295,cobalt,cathinone,0.005128205128205128
2297,cobalt,dimethyltryptamine,0.003952569169960474
2330,cobalt,hydrocodone,0.0008389261744966444
2343,cobalt,tryptamine,0.0005931198102016608
2344,cobalt,hydroxyzine,0.0125
2374,cobalt,fentanyl,0.003430531732418525
2378,cobalt,phenethylamine,0.0007412898443291327
2407,cobalt,benzene,0.0033670033670033677
2418,cobalt,benzodiazepine,0.0010515247108307043
2427,cobalt,methamphetamine,0.0020394289598912306
2453,cobalt,titanium,0.025641025641025644
2456,cobalt,phenacetin,0.03333333333333334
2507,cobalt,igg,0.038461538461538464
2509,cobalt,other,0.0014727540500736375
2512,cobalt,acetaminophen,0.003861003861003861
2527,cobalt,amphetamine,0.0003489183531053734
3178,oxycodone,cobalt,0.02531645569620253
3183,oxycodone,tranylcypromine,0.01092896174863388
3185,oxycodone,hypericum,0.012820512820512822
3186,oxycodone,commiphora,0.03125
3192,oxycodone,hormone,0.007155635062611806
3194,oxycodone,fluoxetine,0.005235602094240838
3197,oxycodone,tizanidine,0.027027027027027025
3200,oxycodone,benzoylecgonine,0.016393442622950817
3206,oxycodone,phenoperidine,0.01694915254237288
3221,oxycodone,kratom,0.03225806451612903
3222,oxycodone,LSD,0.008620689655172414
3226,oxycodone,barbiturate,0.035294117647058816
3227,oxycodone,caffeine,0.013847080072245636
3232,oxycodone,iprocin,0.0091324200913242
3239,oxycodone,diethylpropion,0.016129032258064516
3241,oxycodone,phenelzine,0.014218009478672987
3244,oxycodone,insulin,0.031446540880503145
3254,oxycodone,cocaine,0.015463917525773196
3259,oxycodone,selegiline,0.008403361344537815
3260,oxycodone,piperidino,0.01694915254237288
3268,oxycodone,chlorpromazine,0.005025125628140704
3271,oxycodone,mescaline,0.00538971807628524
3273,oxycodone,psilocybin,0.010638297872340424
3274,oxycodone,oxytocin,0.025641025641025644
3288,oxycodone,ketobemidone,0.01694915254237288
3295,oxycodone,isomorphinans,0.01694915254237288
3296,oxycodone,salvia,0.006713211600429645
3298,oxycodone,choline,0.006896551724137932
3320,oxycodone,anxiolytic,0.017316017316017316
3326,oxycodone,sodium,0.009641873278236913
3340,oxycodone,N-Ethyl-3-piperidyl benzilate,0.01694915254237288
3350,oxycodone,dextromethorphan,0.018739352640545142
3353,oxycodone,dimenhydrinate,0.008849557522123894
3357,oxycodone,nicotine,0.009174311926605505
3366,oxycodone,benzphetamine,0.016129032258064516
3367,oxycodone,phenylalkylamines,0.014084507042253518
3375,oxycodone,dimethcathinone,0.038461538461538464
3387,oxycodone,bupropion,0.004166666666666668
3388,oxycodone,clortermine,0.01694915254237288
3398,oxycodone,ciprofloxacin,0.04
3401,oxycodone,fluvoxamine,0.009433962264150943
3405,oxycodone,fenfluramine,0.03125
3407,oxycodone,ergometrine,0.005154639175257732
3409,oxycodone,glucose,0.0033333333333333327
3410,oxycodone,aminorex,0.013333333333333334
3411,oxycodone,meclizine,0.03125
3416,oxycodone,serotonin,0.004520341536916122
3417,oxycodone,pipradrol,0.015625
3423,oxycodone,scopalamine,0.002583979328165375
3431,oxycodone,vinblastine,0.007874015748031496
3432,oxycodone,marijuana,0.008368200836820085
3440,oxycodone,cyclizine,0.024390243902439025
3441,oxycodone,mephedrone,0.00796812749003984
3443,oxycodone,pyrovalerone,0.01694915254237288
3444,oxycodone,k2,0.017543859649122806
3451,oxycodone,ritonavir,0.03125
