,name,conditional_probability,percentile,adjusted_p_value,should accept
96,phaeacantha|mescaline,0.00041459369817578774,0.06421416646792273,0.005396009230997905,True
682,trimethylsilyl|LSD,0.00017593244194229416,0.004441927021225853,0.005396009230997905,True
714,trimethylsilyl|cocaine,0.0003965107057890563,0.056582399236823275,0.005396009230997905,True
783,trimethylsilyl|cyclohexylpiperidine,0.1111111111111111,0.9498270927736704,0.11638493352208067,False
786,trimethylsilyl|sodium,0.0013774104683195593,0.18915454328642978,0.007185669789939549,True
928,trimethylsilyl|triphenylphosphine,0.14285714285714288,0.9668793226806582,0.14696681592344968,False
929,trimethylsilyl|cyclohexanone,0.1111111111111111,0.9498270927736704,0.11638493352208067,False
948,trimethylsilyl|MDMA,0.0002181976871045167,0.013146911519198664,0.005396009230997905,True
966,trimethylsilyl|phenylpropanolamine,0.007299270072992701,0.4225196756498927,0.01721121294309484,True
1025,trimethylsilyl|cathinone,0.005128205128205128,0.3665036966372526,0.013780772978773403,True
1139,trimethylsilyl|phenylalanine,0.013157894736842106,0.5256081564512283,0.02500670940808111,True
1157,trimethylsilyl|methamphetamine,0.0006798096532970769,0.122466014786549,0.005396009230997905,True
1257,trimethylsilyl|amphetamine,0.0003489183531053734,0.04504531361793465,0.005396009230997905,True
1269,trimethylsilyl|iodophenethylamine,0.1111111111111111,0.9498270927736704,0.11638493352208067,False
1909,cobalt|oxycodone,0.0012944983818770227,0.182864297638922,0.007056004829652722,True
1930,cobalt|benzoylecgonine,0.01639344262295082,0.5867219174815168,0.02640943761061668,True
1952,cobalt|LSD,0.001055594651653765,0.16587169091342713,0.00630765817095965,True
1957,cobalt|caffeine,0.0018061408789885613,0.22847603148103982,0.007888696568332331,True
1960,cobalt|cannabimimetic,0.02127659574468085,0.6733842117815406,0.03155181819892018,True
1974,cobalt|insulin,0.006289308176100629,0.3963450989744813,0.015812363473176397,True
1984,cobalt|cocaine,0.001189532117367169,0.17728953016932983,0.006684893483922796,True
1985,cobalt|inositol,0.010526315789473684,0.4845874075840687,0.021656939207685553,True
2001,cobalt|mescaline,0.0008291873963515755,0.14071070832339613,0.005731352260145711,True
2008,cobalt|opioids,0.0002671653753673524,0.021851896017171475,0.005396009230997905,True
2026,cobalt|salvia,0.0005370569280343716,0.08815287383734796,0.005396009230997905,True
2040,cobalt|morphine,0.0005753739930955121,0.09292272835678511,0.005396009230997905,True
2045,cobalt|methadone,0.001092896174863388,0.1707906033865967,0.00630765817095965,True
2056,cobalt|sodium,0.004132231404958678,0.32700333889816363,0.01262571514604035,True
2080,cobalt|dextromethorphan,0.0034071550255536627,0.30163367517290723,0.011273388062455323,True
2087,cobalt|nicotine,0.0010193679918450561,0.15689840209873598,0.00630765817095965,True
2105,cobalt|dimethcathinone,0.038461538461538464,0.7989506320057238,0.04786502360146347,True
2135,cobalt|fenfluramine,0.015625,0.5711602671118531,0.02640943761061668,True
2162,cobalt|marijuana,0.000643707756678468,0.11137610302885761,0.005396009230997905,True
2171,cobalt|mephedrone,0.00398406374501992,0.322144049606487,0.012307737466243984,True
2212,cobalt|benzylethylamine,0.038461538461538464,0.7989506320057238,0.04786502360146347,True
2214,cobalt|thebaine,0.0033444816053511705,0.2929883138564274,0.011191315987193912,True
2218,cobalt|MDMA,0.0008727907484180668,0.1466730264726926,0.005940927935254796,True
2236,cobalt|phenylpropanolamine,0.007299270072992701,0.4225196756498927,0.01721121294309484,True
2260,cobalt|dimethylglyoxime,0.038461538461538464,0.7989506320057238,0.04786502360146347,True
2267,cobalt|nitropropene,0.03333333333333334,0.7703016932983544,0.04315450919850766,True
2294,cobalt|quinine,0.01492537313432836,0.5566122108275697,0.02640943761061668,True
2295,cobalt|cathinone,0.005128205128205128,0.3665036966372526,0.013780772978773403,True
2297,cobalt|dimethyltryptamine,0.003952569169960474,0.31823873121869783,0.012307737466243984,True
2330,cobalt|hydrocodone,0.0008389261744966444,0.1441092296684951,0.005731352260145711,True
2331,cobalt|xylazine,0.045454545454545456,0.8426842356308133,0.0538430423309299,False
2343,cobalt|tryptamine,0.0005931198102016608,0.10010732172668733,0.005396009230997905,True
2344,cobalt|hydroxyzine,0.0125,0.5086155497257334,0.024500409021853454,True
2374,cobalt|fentanyl,0.0034305317324185253,0.3026770808490341,0.011274596798046778,True
2378,cobalt|phenethylamine,0.0007412898443291328,0.13260195564035296,0.005455424865769291,True
2407,cobalt|benzene,0.0033670033670033673,0.2993381826854281,0.011191315987193912,True
2418,cobalt|benzodiazepine,0.0010515247108307045,0.16262222752206057,0.00630765817095965,True
2427,cobalt|methamphetamine,0.0020394289598912306,0.2476150727402814,0.00822440550980902,True
2453,cobalt|titanium,0.025641025641025644,0.7179525399475316,0.03558848742562745,True
2456,cobalt|phenacetin,0.03333333333333334,0.7703016932983544,0.04315450919850766,True
2461,cobalt|aflatoxin,0.25,0.9902217982351539,0.25155987520998324,False
2507,cobalt|igg,0.038461538461538464,0.7989506320057238,0.04786502360146347,True
2509,cobalt|other,0.0014727540500736377,0.19791915096589555,0.007337216446791511,True
2512,cobalt|acetaminophen,0.003861003861003861,0.3138862389697114,0.01228244197384672,True
2527,cobalt|amphetamine,0.0003489183531053734,0.04504531361793465,0.005396009230997905,True
3178,oxycodone|cobalt,0.02531645569620253,0.7150011924636298,0.035395764833003406,True
3183,oxycodone|tranylcypromine,0.01092896174863388,0.4929644645838302,0.02215112343783534,True
3185,oxycodone|hypericum,0.012820512820512822,0.5166646792272835,0.02466173196761567,True
3186,oxycodone|commiphora,0.03125,0.7595397090388744,0.0409921007351791,True
3192,oxycodone|hormone,0.007155635062611807,0.4206713570236108,0.01700401123124472,True
3194,oxycodone|fluoxetine,0.005235602094240838,0.3772060577152397,0.013841664300852355,True
3196,oxycodone|gerwurtzraminer,0.2,0.9833651323634629,0.20282984641431856,False
3197,oxycodone|tizanidine,0.027027027027027025,0.7289530169329835,0.03697367840924122,True
3200,oxycodone|benzoylecgonine,0.01639344262295082,0.5867219174815168,0.02640943761061668,True
3206,oxycodone|phenoperidine,0.01694915254237288,0.618262580491295,0.02640943761061668,True
3221,oxycodone|kratom,0.03225806451612903,0.7645182446935368,0.042126626026980946,True
3222,oxycodone|LSD,0.008620689655172414,0.45456713570236107,0.0189646126569454,True
3226,oxycodone|barbiturate,0.03529411764705882,0.7790364893870737,0.04529443271684678,True
3227,oxycodone|caffeine,0.013847080072245636,0.5367278797996661,0.025799069870218155,True
3230,oxycodone|cannabimimetic,0.0425531914893617,0.8273014548056284,0.05141946164694341,False
3232,oxycodone|iprocin,0.0091324200913242,0.459694729310756,0.01984825058593877,True
3233,oxycodone|dinitrophenol,0.1111111111111111,0.9498270927736704,0.11638493352208067,False
3234,oxycodone|sevoflorane,0.047619047619047616,0.8492427855950394,0.055913376271819276,False
3239,oxycodone|diethylpropion,0.016129032258064516,0.5813856427378965,0.02640943761061668,True
3241,oxycodone|phenelzine,0.014218009478672987,0.5451347483901741,0.026061689068448454,True
3244,oxycodone|insulin,0.031446540880503145,0.7626699260672549,0.04122411940345465,True
3247,oxycodone|meperidine,0.052132701421800945,0.8589911757691391,0.060690613468900215,False
3254,oxycodone|cocaine,0.015463917525773195,0.5659134271404722,0.02640943761061668,True
3259,oxycodone|selegiline,0.008403361344537815,0.44633913665633196,0.01876963330278176,True
3260,oxycodone|piperidino,0.01694915254237288,0.618262580491295,0.02640943761061668,True
3267,oxycodone|phenanthrene,0.09090909090909091,0.9191509658955402,0.09785183370089033,False
3268,oxycodone|chlorpromazine,0.005025125628140704,0.36268781302170283,0.013780772978773403,True
3271,oxycodone|mescaline,0.00538971807628524,0.37938230383973287,0.014206561618019182,True
3273,oxycodone|psilocybin,0.010638297872340425,0.4870915812067732,0.02179642461701608,True
3274,oxycodone|oxytocin,0.025641025641025644,0.7179525399475316,0.03558848742562745,True
3278,oxycodone|opioids,0.04568527918781726,0.8443834963033627,0.05410489355585871,False
3280,oxycodone|fluoroamphetamine,0.1111111111111111,0.9498270927736704,0.11638493352208067,False
3285,oxycodone|propoxyphene,0.06437768240343347,0.8845695206296208,0.07277363950059892,False
3288,oxycodone|ketobemidone,0.01694915254237288,0.618262580491295,0.02640943761061668,True
3291,oxycodone|quetiapine,0.09375,0.929465776293823,0.10085792174470815,False
3295,oxycodone|isomorphinans,0.01694915254237288,0.618262580491295,0.02640943761061668,True
3296,oxycodone|salvia,0.0067132116004296446,0.40668972096351064,0.016459596851753713,True
3298,oxycodone|choline,0.006896551724137932,0.4130694013832578,0.016647807357115917,True
3304,oxycodone|succinylcholine,0.07142857142857144,0.8923801574051992,0.07996795941525933,False
3309,oxycodone|laudanum,0.05660377358490566,0.8701705222990699,0.06503791810413358,False
3310,oxycodone|morphine,0.05466052934407365,0.8656093489148581,0.06314687960867911,False
3315,oxycodone|methadone,0.04918032786885246,0.8529692344383496,0.05764570962445968,False
3320,oxycodone|anxiolytic,0.017316017316017316,0.6456892439780587,0.026814166967430747,True
3326,oxycodone|sodium,0.009641873278236913,0.4693238731218698,0.02054287330063383,True
3340,oxycodone|N-Ethyl-3-piperidyl benzilate,0.01694915254237288,0.618262580491295,0.02640943761061668,True
3350,oxycodone|dextromethorphan,0.018739352640545142,0.6582995468638206,0.02846372237703524,True
3353,oxycodone|dimenhydrinate,0.008849557522123894,0.45647507751013594,0.019358912059614184,True
3357,oxycodone|nicotine,0.009174311926605505,0.46020152635344624,0.01993413131662489,True
3358,oxycodone|naloxone,0.05633802816901409,0.8698425948008586,0.06476807241419592,False
