,name,conditional_probability,percentile,adjusted_p_value,should accept
0,emotion|global nervous system,0.11617469359571897,0.9805491990846682,0.11847920910461888,False
1,emotion|immunologic,0.09375,0.937070938215103,0.10004578754578754,False
2,emotion|motor,0.11324376199616122,0.971395881006865,0.11645224294853039,False
3,emotion|misclassified,0.11967349197565025,0.988558352402746,0.12105860183647953,False
4,emotion|gastrointestinal,0.10508205399682372,0.9496567505720824,0.1106526689074987,False
5,emotion|song references,0.05714285714285715,0.8483981693363845,0.0673084328070851,False
6,emotion|cardiovascular,0.10651499482936917,0.9530892448512586,0.11175762962889395,False
7,emotion|genitourinary,0.10735468564650058,0.9553775743707094,0.11236885659286408,False
8,emotion|oncologic,0.09659613615455383,0.9382151029748284,0.10295734512082932,False
9,emotion|written media references,0.09926470588235295,0.9405034324942791,0.10554422498926579,False
10,emotion|chemical process,0.10062402496099844,0.9450800915331807,0.10647142592725502,False
11,emotion|metabolic,0.11885245901639344,0.9862700228832952,0.12050701761058916,False
12,emotion|hematologic,0.06666666666666668,0.9038901601830663,0.0736620311841551,False
13,emotion|musculoskeletal,0.1,0.9422196796338673,0.10606796116504856,False
14,emotion|place references,0.08544303797468356,0.9279176201372997,0.09191936897458369,False
15,emotion|property of toxin,0.10946446615021892,0.9633867276887872,0.1136246358851441,False
16,emotion|somatic sensation,0.10052910052910052,0.9439359267734554,0.10647142592725502,False
17,emotion|neurologic disorder,0.10798898071625344,0.9576659038901602,0.11276268715173897,False
18,emotion|perception,0.1223751749883341,0.9908466819221968,0.12350566159330716,False
19,emotion|endocrine,0.0625,0.8872997711670481,0.0701219512195122,False
20,emotion|sense of self,0.11800092549745489,0.9839816933638444,0.11992187079625066,False
21,emotion|use of substance,0.10631479736098019,0.9519450800915332,0.11168165011237582,False
22,emotion|sexual activity,0.10711430855315747,0.954233409610984,0.11225168546218181,False
23,emotion|uninterpretable,0.1125133547008547,0.9679633867276888,0.11613739743300498,False
24,emotion|respiratory,0.11180124223602485,0.9668192219679634,0.11563820794590025,False
25,emotion|activity references,0.125,0.9965675057208238,0.1252866972477064,False
27,emotion|esp,0.11355879615265281,0.9736842105263158,0.1166279528054272,False
28,emotion|infectious,0.08538587848932677,0.9267734553775744,0.09191936897458369,False
29,emotion|cognitive ability,0.10843605546995377,0.959954233409611,0.11295960963139404,False
30,emotion|behavior,0.11967128916281458,0.9874141876430206,0.12105860183647953,False
31,emotion|integumentary,0.10863874345549739,0.9610983981693364,0.11301303344721392,False
32,global nervous system|emotion,0.04523457453958865,0.7425629290617849,0.06083283331333253,False
33,global nervous system|immunologic,0.025,0.5743707093821511,0.042843137254901964,True
34,global nervous system|motor,0.05758157389635316,0.8535469107551488,0.06746152223245665,False
35,global nervous system|misclassified,0.04593248478140565,0.7505720823798627,0.060905067155067154,False
36,global nervous system|gastrointestinal,0.050026469031233464,0.8054919908466819,0.062106724337071095,False
37,global nervous system|song references,0.05714285714285715,0.8483981693363845,0.0673084328070851,False
38,global nervous system|cardiovascular,0.05584281282316443,0.8421052631578947,0.0662919170381857,False
39,global nervous system|genitourinary,0.057532621589561087,0.8524027459954233,0.06746152223245665,False
40,global nervous system|oncologic,0.03219871205151794,0.6270022883295194,0.05135342031574212,False
