,name,conditional_probability,percentile,p_value
0,emotion|opioid,0.14397212543554005,0.9488584474885845,0.052054794520547946
1,global nervous system|opioid,0.06397212543554007,0.6785388127853881,0.3223744292237443
2,immunologic|opioid,0.0016724738675958188,0.04018264840182648,0.960730593607306
3,motor|opioid,0.0027874564459930314,0.06757990867579909,0.9333333333333333
4,misclassified|opioid,0.07512195121951219,0.765296803652968,0.2356164383561644
5,gastrointestinal|opioid,0.0705226480836237,0.7168949771689498,0.28401826484018267
6,song references|opioid,0.00013937282229965157,0.0031963470319634705,0.9981735159817352
7,cardiovascular|opioid,0.023554006968641118,0.37534246575342467,0.6255707762557078
8,genitourinary|opioid,0.012543554006968641,0.2237442922374429,0.7771689497716895
9,oncologic|opioid,0.013101045296167247,0.2356164383561644,0.765296803652968
10,written media references|opioid,0.003205574912891986,0.08036529680365297,0.9205479452054794
11,chemical process|opioid,0.006550522648083624,0.14703196347031963,0.8538812785388128
12,metabolic|opioid,0.00710801393728223,0.16073059360730593,0.8401826484018264
13,hematologic|opioid,0.0018118466898954706,0.04794520547945205,0.9534246575342465
14,musculoskeletal|opioid,0.0018118466898954706,0.04794520547945205,0.9534246575342465
15,place references|opioid,0.0030662020905923345,0.07945205479452055,0.9214611872146119
16,property of toxin|opioid,0.059372822299651566,0.6429223744292237,0.35799086757990867
17,somatic sensation|opioid,0.008501742160278745,0.18538812785388128,0.8155251141552512
18,neurologic disorder|opioid,0.04947735191637631,0.5652968036529681,0.43561643835616437
19,perception|opioid,0.05630662020905923,0.6200913242009133,0.38082191780821917
20,endocrine|opioid,0.00013937282229965157,0.0031963470319634705,0.9981735159817352
21,sense of self|opioid,0.014773519163763066,0.2557077625570776,0.7452054794520548
22,use of substance|opioid,0.06787456445993031,0.7013698630136986,0.29954337899543376
23,sexual activity|opioid,0.010034843205574913,0.20273972602739726,0.7981735159817351
24,uninterpretable|opioid,0.15777003484320556,0.9579908675799087,0.042922374429223746
25,respiratory|opioid,0.0039024390243902443,0.09680365296803653,0.9041095890410958
26,activity references|opioid,0.0004181184668989547,0.01004566210045662,0.9908675799086758
28,esp|opioid,0.016027874564459928,0.2785388127853881,0.7223744292237443
29,infectious|opioid,0.010452961672473867,0.20730593607305936,0.7936073059360731
30,cognitive ability|opioid,0.05435540069686411,0.5990867579908675,0.4018264840182648
31,behavior|opioid,0.050731707317073174,0.5744292237442923,0.42648401826484017
32,integumentary|opioid,0.0089198606271777,0.1917808219178082,0.8091324200913242
33,emotion|serotonergic,0.08695652173913043,0.8324200913242009,0.17625570776255708
34,global nervous system|serotonergic,0.021739130434782608,0.3506849315068493,0.6520547945205479
35,immunologic|serotonergic,0.021739130434782608,0.3506849315068493,0.6520547945205479
37,misclassified|serotonergic,0.06521739130434782,0.6881278538812785,0.3141552511415525
40,cardiovascular|serotonergic,0.043478260869565216,0.5054794520547945,0.508675799086758
42,oncologic|serotonergic,0.06521739130434782,0.6881278538812785,0.3141552511415525
44,chemical process|serotonergic,0.06521739130434782,0.6881278538812785,0.3141552511415525
49,property of toxin|serotonergic,0.043478260869565216,0.5054794520547945,0.508675799086758
51,neurologic disorder|serotonergic,0.17391304347826086,0.9698630136986301,0.0319634703196347
52,perception|serotonergic,0.10869565217391304,0.8780821917808219,0.1232876712328767
55,use of substance|serotonergic,0.021739130434782608,0.3506849315068493,0.6520547945205479
57,uninterpretable|serotonergic,0.10869565217391304,0.8780821917808219,0.1232876712328767
61,esp|serotonergic,0.021739130434782608,0.3506849315068493,0.6520547945205479
63,cognitive ability|serotonergic,0.06521739130434782,0.6881278538812785,0.3141552511415525
64,behavior|serotonergic,0.08695652173913043,0.8324200913242009,0.17625570776255708
99,emotion|cardioactive,0.12903225806451613,0.9315068493150684,0.06940639269406393
100,global nervous system|cardioactive,0.0498533724340176,0.5675799086757991,0.4337899543378995
101,immunologic|cardioactive,0.002932551319648094,0.07625570776255708,0.9260273972602739
