,opioid,serotonergic,unclear,cardioactive,antibiotic/antifungal,ssri,ergot,anti-inflammatory,mushrooms,anticoagulant,neurotoxin,misclassified,antacid,stimulants,moiety,snakes,sexual enhancement,salicylate,alcohol,chemical process,cholinergic plant,dopamine agonist,paralytic,abortifacient,analgesic,anticholinergic medicine,maoi,functional class,plant,chemotherapeutic,nsaid,cyanogenic,anesthetic,hepatotoxin,anabolic hormones,antinausea,antihyperglycemic,hiv medications,nonopioid analgesic,inhalant,psychedelic,antipsychotic,bulking agent,serm,metabolite,cannabinoid receptor agonists,endogenous chemical,sedative,antidepressant,structural class,chemical reagent,androgen/estrogen,uncoupler,steroid,nootropic,acetaminophen-containing,element,tricyclic antidepressants,antithyroid,nmda antagonist,vasoactive
emotion,1033.0,4.0,0.0,44.0,25.0,47.0,12.0,2.0,6.0,0.0,1.0,0.0,0.0,1351.0,36.0,0.0,3.0,0.0,101.0,1.0,6.0,3.0,0.0,1.0,4.0,130.0,24.0,327.0,53.0,12.0,5.0,0.0,3.0,0.0,2.0,3.0,1.0,1.0,2.0,8.0,2778.0,22.0,1.0,0.0,35.0,488.0,284.0,86.0,8.0,499.0,54.0,2.0,0.0,5.0,2.0,102.0,117.0,4.0,2.0,1.0,32.0
global nervous system,459.0,1.0,0.0,17.0,12.0,21.0,6.0,1.0,2.0,1.0,0.0,0.0,1.0,701.0,19.0,0.0,2.0,1.0,35.0,0.0,4.0,3.0,1.0,1.0,2.0,101.0,11.0,186.0,36.0,5.0,2.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1131.0,24.0,0.0,1.0,18.0,195.0,164.0,79.0,4.0,246.0,22.0,2.0,0.0,3.0,2.0,43.0,41.0,6.0,1.0,2.0,20.0
immunologic,12.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,3.0,11.0,1.0,2.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0
motor,20.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,7.0,2.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,109.0,3.0,0.0,0.0,5.0,7.0,17.0,1.0,0.0,28.0,6.0,0.0,0.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,1.0
misclassified,539.0,3.0,0.0,21.0,11.0,24.0,6.0,1.0,3.0,1.0,0.0,0.0,0.0,781.0,30.0,0.0,0.0,0.0,79.0,1.0,4.0,3.0,0.0,0.0,1.0,52.0,12.0,180.0,34.0,11.0,2.0,0.0,3.0,1.0,2.0,3.0,1.0,0.0,2.0,5.0,1450.0,15.0,2.0,1.0,19.0,312.0,158.0,37.0,7.0,253.0,51.0,0.0,1.0,2.0,2.0,42.0,80.0,6.0,1.0,2.0,17.0
gastrointestinal,506.0,0.0,0.0,15.0,19.0,23.0,9.0,3.0,5.0,0.0,1.0,0.0,0.0,463.0,16.0,1.0,0.0,1.0,40.0,0.0,1.0,1.0,1.0,1.0,1.0,48.0,15.0,118.0,24.0,8.0,3.0,0.0,1.0,3.0,2.0,2.0,1.0,1.0,2.0,5.0,609.0,9.0,3.0,0.0,20.0,132.0,105.0,34.0,8.0,152.0,26.0,0.0,0.0,3.0,1.0,76.0,54.0,3.0,1.0,0.0,13.0
song references,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
cardiovascular,169.0,2.0,0.0,11.0,13.0,27.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,268.0,11.0,0.0,0.0,0.0,14.0,0.0,1.0,1.0,2.0,0.0,1.0,30.0,24.0,77.0,14.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,318.0,10.0,0.0,0.0,5.0,57.0,74.0,13.0,4.0,88.0,17.0,0.0,1.0,3.0,1.0,11.0,19.0,4.0,1.0,1.0,11.0
genitourinary,90.0,0.0,0.0,3.0,5.0,14.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,204.0,8.0,0.0,0.0,1.0,8.0,0.0,1.0,2.0,1.0,1.0,0.0,15.0,12.0,70.0,11.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,331.0,4.0,0.0,0.0,6.0,46.0,58.0,13.0,5.0,61.0,8.0,2.0,0.0,1.0,0.0,5.0,15.0,5.0,0.0,0.0,16.0
oncologic,94.0,3.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,147.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,5.0,35.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,151.0,0.0,0.0,0.0,4.0,38.0,37.0,10.0,1.0,22.0,10.0,0.0,0.0,1.0,0.0,8.0,18.0,1.0,0.0,0.0,2.0
