,name,conditional_probability,percentile,p_value
3,cobalt|emotion,3,0.7067549446865572,0.3245055313442843
5,oxycodone|emotion,120,0.9834059671471673,0.016761649346295676
6,carbomethoxytropinone|emotion,1,0.27070063694267515,1.0
7,methylchloroisothiazalinone|emotion,1,0.27070063694267515,1.0
9,tranylcypromine|emotion,6,0.8180522963459604,0.1910828025477707
11,hypericum|emotion,5,0.7939155212872947,0.22125377137110291
12,commiphora|emotion,3,0.7067549446865572,0.3245055313442843
13,aromadendrene|emotion,1,0.27070063694267515,1.0
14,norethrindrone|emotion,1,0.27070063694267515,1.0
15,hydroxyethylamide|emotion,2,0.608447871270533,0.45876634260811266
16,guanfacine|emotion,2,0.608447871270533,0.45876634260811266
17,mercaptoethyl|emotion,1,0.27070063694267515,1.0
18,hormone|emotion,50,0.9627891384512236,0.03754609453570231
19,methylecgonidine|emotion,1,0.27070063694267515,1.0
20,fluoxetine|emotion,13,0.893479718404291,0.10945357023131076
21,pseudoephedrine|emotion,27,0.9364733489775394,0.0646999664767013
22,gerwurtzraminer|emotion,1,0.27070063694267515,1.0
23,tizanidine|emotion,2,0.608447871270533,0.45876634260811266
25,amfebutamone|emotion,1,0.27070063694267515,1.0
26,benzoylecgonine|emotion,2,0.608447871270533,0.45876634260811266
27,elymoclavine|emotion,2,0.608447871270533,0.45876634260811266
28,sesquiterpene|emotion,1,0.27070063694267515,1.0
29,dalcipran|emotion,1,0.27070063694267515,1.0
30,clozapine|emotion,1,0.27070063694267515,1.0
31,methimazole|emotion,2,0.608447871270533,0.45876634260811266
32,phenoperidine|emotion,1,0.27070063694267515,1.0
33,chalcostrobamine|emotion,1,0.27070063694267515,1.0
35,hydroxycobalamin|emotion,1,0.27070063694267515,1.0
36,methane|emotion,3,0.7067549446865572,0.3245055313442843
38,myrtillocactus|emotion,1,0.27070063694267515,1.0
40,diethylserotonin|emotion,1,0.27070063694267515,1.0
41,chanoclavine|emotion,1,0.27070063694267515,1.0
43,mchlorophenylpiperazine|emotion,1,0.27070063694267515,1.0
44,trichlorethyline|emotion,1,0.27070063694267515,1.0
46,triterpene|emotion,5,0.7939155212872947,0.22125377137110291
47,kratom|emotion,1,0.27070063694267515,1.0
48,LSD|emotion,937,1.0,0.00016761649346295676
50,tetrahydroisoquinalone|emotion,1,0.27070063694267515,1.0
52,barbiturate|emotion,9,0.8601240362051625,0.14666443178008717
53,caffeine|emotion,177,0.9898592021454912,0.01039222259470332
55,moldicide|emotion,1,0.27070063694267515,1.0
56,cannabimimetic|emotion,2,0.608447871270533,0.45876634260811266
58,iprocin|emotion,31,0.943932282936641,0.05715722427086825
60,sevoflorane|emotion,1,0.27070063694267515,1.0
62,neocitron|emotion,1,0.27070063694267515,1.0
65,diethylpropion|emotion,1,0.27070063694267515,1.0
66,dihydroergotamine|emotion,1,0.27070063694267515,1.0
67,phenelzine|emotion,8,0.8479718404290982,0.15755950385517936
68,thienodiazepine|emotion,1,0.27070063694267515,1.0
69,coriamyrtine|emotion,2,0.608447871270533,0.45876634260811266
70,insulin|emotion,19,0.9187060006704659,0.08246731478377473
73,meperidine|emotion,9,0.8601240362051625,0.14666443178008717
74,ethoxymethyl|emotion,1,0.27070063694267515,1.0
75,vasopressin|emotion,4,0.7583808246731478,0.26215219577606436
76,pseudotutine|emotion,2,0.608447871270533,0.45876634260811266
77,anandamides|emotion,1,0.27070063694267515,1.0
78,piper methysticum|emotion,7,0.8348139456922561,0.17298022125377138
80,cocaine|emotion,263,0.9941334227287966,0.006034193764666443
81,inositol|emotion,4,0.7583808246731478,0.26215219577606436
83,strophara|emotion,1,0.27070063694267515,1.0
85,selegiline|emotion,5,0.7939155212872947,0.22125377137110291
86,piperidino|emotion,1,0.27070063694267515,1.0
91,ketorolac|emotion,1,0.27070063694267515,1.0
94,chlorpromazine|emotion,15,0.9049614482065035,0.09721756620851492
97,mescaline|emotion,295,0.9956419711699631,0.004525645323499832
99,psilocybin|emotion,11,0.8795675494468655,0.12453905464297686
100,oxytocin|emotion,13,0.893479718404291,0.10945357023131076
101,pseudomorphine|emotion,1,0.27070063694267515,1.0
102,myristicine|emotion,5,0.7939155212872947,0.22125377137110291
104,opioids|emotion,412,0.9978209855849816,0.0023466309084813944
105,chardonnay|emotion,2,0.608447871270533,0.45876634260811266
107,desoxypipradrol|emotion,1,0.27070063694267515,1.0
111,propoxyphene|emotion,8,0.8479718404290982,0.15755950385517936
112,mirtazapine|emotion,1,0.27070063694267515,1.0
113,capsaicin|emotion,2,0.608447871270533,0.45876634260811266
114,ketobemidone|emotion,1,0.27070063694267515,1.0
115,polyhydroxynortropane|emotion,1,0.27070063694267515,1.0
117,quetiapine|emotion,2,0.608447871270533,0.45876634260811266
118,eroglines|emotion,1,0.27070063694267515,1.0
119,dimethylformamide|emotion,1,0.27070063694267515,1.0
120,hydroxytryptophan|emotion,1,0.27070063694267515,1.0
121,isomorphinans|emotion,1,0.27070063694267515,1.0
122,salvia|emotion,643,0.9993295340261482,0.0008380824673147837
123,digoxin|emotion,2,0.608447871270533,0.45876634260811266
124,choline|emotion,13,0.893479718404291,0.10945357023131076
126,cocaethylene|emotion,5,0.7939155212872947,0.22125377137110291
128,oleander|emotion,2,0.608447871270533,0.45876634260811266
129,hallucinogen|emotion,4,0.7583808246731478,0.26215219577606436
132,pyridine|emotion,5,0.7939155212872947,0.22125377137110291
133,musicmol|emotion,1,0.27070063694267515,1.0
135,laudanum|emotion,10,0.8711867247737177,0.13325511230305062
136,morphine|emotion,140,0.986674488769695,0.013576935970499497
137,hexanoate|emotion,1,0.27070063694267515,1.0
139,minaprine|emotion,1,0.27070063694267515,1.0
141,methadone|emotion,80,0.9744384847468991,0.025812939993295342
142,mucuadinine|emotion,2,0.608447871270533,0.45876634260811266
143,sertraline|emotion,7,0.8348139456922561,0.17298022125377138
144,dipropylaminomethylene|emotion,1,0.27070063694267515,1.0
145,lighterfluid|emotion,1,0.27070063694267515,1.0
146,anxiolytic|emotion,20,0.9209688233322159,0.08028830036875628
150,hepatotoxin|emotion,2,0.608447871270533,0.45876634260811266
151,alphamethylphenethylene|emotion,1,0.27070063694267515,1.0
152,sodium|emotion,68,0.9705833053972511,0.029668119342943347
153,ethacetin|emotion,1,0.27070063694267515,1.0
154,selenium|emotion,3,0.7067549446865572,0.3245055313442843
155,cinchona|emotion,1,0.27070063694267515,1.0
156,clorphenylpiperazine|emotion,1,0.27070063694267515,1.0
158,diethyltryptamine|emotion,1,0.27070063694267515,1.0
159,amitoxins|emotion,1,0.27070063694267515,1.0
163,propylthiophenethylamine|emotion,1,0.27070063694267515,1.0
166,N-Ethyl-3-piperidyl benzilate|emotion,1,0.27070063694267515,1.0
169,sulbutiamine|emotion,1,0.27070063694267515,1.0
171,ayahuasca|emotion,9,0.8601240362051625,0.14666443178008717
174,delusiongen|emotion,1,0.27070063694267515,1.0
175,convolamine|emotion,1,0.27070063694267515,1.0
176,dextromethorphan|emotion,58,0.967063359034529,0.03335568219912839
177,cointreau|emotion,1,0.27070063694267515,1.0
179,dimenhydrinate|emotion,14,0.8995977204156889,0.10375460945357023
180,aposcopolamine|emotion,1,0.27070063694267515,1.0
183,nicotine|emotion,237,0.9934629567549447,0.00670465973851827
184,naloxone|emotion,12,0.8871102916526986,0.11649346295675495
189,curacao|emotion,1,0.27070063694267515,1.0
190,krokodil|emotion,2,0.608447871270533,0.45876634260811266
191,ethylpheryl|emotion,1,0.27070063694267515,1.0
192,benzphetamine|emotion,1,0.27070063694267515,1.0
193,phenylalkylamines|emotion,2,0.608447871270533,0.45876634260811266
194,hypoxanthine|emotion,1,0.27070063694267515,1.0
196,isomyristicin|emotion,1,0.27070063694267515,1.0
199,guaifenisin|emotion,1,0.27070063694267515,1.0
200,tigloidine|emotion,1,0.27070063694267515,1.0
203,heroin|emotion,15,0.9049614482065035,0.09721756620851492
205,vobtusine|emotion,1,0.27070063694267515,1.0
206,pyrazolopyrimidine|emotion,1,0.27070063694267515,1.0
207,chlorine|emotion,31,0.943932282936641,0.05715722427086825
208,dexamethasone|emotion,1,0.27070063694267515,1.0
209,camfetamine|emotion,1,0.27070063694267515,1.0
211,valproic acid|emotion,2,0.608447871270533,0.45876634260811266
213,bupropion|emotion,15,0.9049614482065035,0.09721756620851492
214,clortermine|emotion,1,0.27070063694267515,1.0
215,zygophyllaceae|emotion,6,0.8180522963459604,0.1910828025477707
216,dimethyl|emotion,2,0.608447871270533,0.45876634260811266
219,ethylphenidate|emotion,2,0.608447871270533,0.45876634260811266
222,propranolol|emotion,3,0.7067549446865572,0.3245055313442843
223,phenyltropane|emotion,1,0.27070063694267515,1.0
224,ciprofloxacin|emotion,1,0.27070063694267515,1.0
225,hylocereus|emotion,1,0.27070063694267515,1.0
