,emotion,global nervous system,immunologic,motor,misclassified,gastrointestinal,song references,cardiovascular,genitourinary,oncologic,written media references,chemical process,metabolic,hematologic,musculoskeletal,place references,property of toxin,somatic sensation,neurologic disorder,perception,endocrine,sense of self,use of substance,sexual activity,uninterpretable,respiratory,activity references,renal,esp,infectious,cognitive ability,behavior,integumentary
emotion,5306,673,15,59,865,397,2,206,181,105,54,129,58,8,6,27,650,19,588,1049,3,255,564,134,1685,72,5,0,366,52,563,699,83
global nervous system,673,1287,4,30,332,189,2,108,97,35,28,59,21,3,3,17,326,9,264,446,3,105,273,60,652,26,0,0,144,21,240,301,35
immunologic,15,4,26,0,12,7,0,5,4,6,1,3,0,4,0,1,10,0,6,5,0,2,8,4,13,2,0,0,1,7,7,7,0
motor,59,30,0,82,32,20,0,12,6,4,2,2,3,0,0,1,34,2,34,35,1,6,33,6,48,2,1,0,11,3,20,28,4
misclassified,865,332,12,32,1736,199,1,103,89,66,34,73,24,6,2,14,341,12,337,530,1,133,290,78,931,36,1,0,192,31,319,356,52
gastrointestinal,397,189,7,20,199,880,1,74,58,50,11,39,27,6,5,11,205,7,146,229,3,48,232,35,409,25,0,0,77,33,175,151,29
song references,2,2,0,0,1,1,5,0,1,1,0,1,0,0,0,0,3,0,1,5,0,1,3,0,3,0,0,0,1,0,1,3,0
cardiovascular,206,108,5,12,103,74,0,393,40,18,7,21,6,4,2,10,94,4,101,124,2,24,109,30,177,15,0,0,44,20,75,89,17
genitourinary,181,97,4,6,89,58,1,40,280,17,11,19,6,2,1,6,80,2,78,105,2,41,75,38,177,12,1,0,54,18,69,102,14
oncologic,105,35,6,4,66,50,1,18,17,218,5,10,3,4,3,3,45,2,46,67,1,14,64,14,125,5,1,0,26,16,55,52,6
written media references,54,28,1,2,34,11,0,7,11,5,89,10,1,0,0,0,26,0,27,44,0,15,19,6,67,3,0,0,19,2,24,34,5
chemical process,129,59,3,2,73,39,1,21,19,10,10,243,4,3,1,5,65,3,61,91,0,32,51,26,145,13,0,0,39,5,66,58,5
metabolic,58,21,0,3,24,27,0,6,6,3,1,4,96,0,0,0,22,1,26,24,0,12,32,5,60,0,0,0,7,2,22,21,5
hematologic,8,3,4,0,6,6,0,4,2,4,0,3,0,14,1,2,4,1,5,5,0,1,8,6,12,1,1,0,1,3,6,6,3
musculoskeletal,6,3,0,0,2,5,0,2,1,3,0,1,0,1,10,0,3,1,2,0,0,1,2,1,7,1,0,0,0,4,1,1,2
place references,27,17,1,1,14,11,0,10,6,3,0,5,0,2,0,49,21,0,19,19,1,5,20,4,36,1,0,0,9,3,19,10,3
property of toxin,650,326,10,34,341,205,3,94,80,45,26,65,22,4,3,21,1399,11,273,461,3,94,295,50,651,30,2,0,165,27,249,265,34
somatic sensation,19,9,0,2,12,7,0,4,2,2,0,3,1,1,1,0,11,32,11,10,0,3,14,3,20,2,0,0,6,1,7,5,1
neurologic disorder,588,264,6,34,337,146,1,101,78,46,27,61,26,5,2,19,273,11,1275,405,5,99,227,51,625,25,1,0,162,25,224,262,34
perception,1049,446,5,35,530,229,5,124,105,67,44,91,24,5,0,19,461,10,405,2072,1,187,362,73,1051,42,1,0,272,22,363,436,36
endocrine,3,3,0,1,1,3,0,2,2,1,0,0,0,0,0,1,3,0,5,1,7,0,2,1,5,0,0,0,0,2,1,3,1
sense of self,255,105,2,6,133,48,1,24,41,14,15,32,12,1,1,5,94,3,99,187,0,404,77,19,235,11,0,0,89,10,105,120,13
use of substance,564,273,8,33,290,232,3,109,75,64,19,51,32,8,2,20,295,14,227,362,2,77,1203,60,604,29,5,0,115,33,230,234,32
sexual activity,134,60,4,6,78,35,0,30,38,14,6,26,5,6,1,4,50,3,51,73,1,19,60,246,135,11,0,0,23,10,55,57,10
uninterpretable,1685,652,13,48,931,409,3,177,177,125,67,145,60,12,7,36,651,20,625,1051,5,235,604,135,5200,63,5,0,355,71,627,694,88
respiratory,72,26,2,2,36,25,0,15,12,5,3,13,0,1,1,1,30,2,25,42,0,11,29,11,63,115,0,0,23,7,27,39,6
activity references,5,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,2,0,1,1,0,0,5,0,5,0,10,0,1,0,2,2,1
renal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esp,366,144,1,11,192,77,1,44,54,26,19,39,7,1,0,9,165,6,162,272,0,89,115,23,355,23,1,0,677,7,149,169,19
infectious,52,21,7,3,31,33,0,20,18,16,2,5,2,3,4,3,27,1,25,22,2,10,33,10,71,7,0,0,7,119,26,20,9
cognitive ability,563,240,7,20,319,175,1,75,69,55,24,66,22,6,1,19,249,7,224,363,1,105,230,55,627,27,2,0,149,26,1194,244,27
behavior,699,301,7,28,356,151,3,89,102,52,34,58,21,6,1,10,265,5,262,436,3,120,234,57,694,39,2,0,169,20,244,1328,45
integumentary,83,35,0,4,52,29,0,17,14,6,5,5,5,3,2,3,34,1,34,36,1,13,32,10,88,6,1,0,19,9,27,45,145
